"";"mangal_node_0090";"mangal_node_3909";"mangal_node_5056";"mangal_node_5057";"mangal_node_5073";"mangal_node_3924";"mangal_node_5060";"mangal_node_3911";"mangal_node_5061";"mangal_node_5070";"mangal_node_5055";"mangal_node_5059";"mangal_node_3933";"mangal_node_5069";"mangal_node_5074";"mangal_node_3919";"mangal_node_3904";"mangal_node_3915";"mangal_node_5054";"mangal_node_5062";"mangal_node_5063";"mangal_node_5064";"mangal_node_5065";"mangal_node_5072";"mangal_node_5066";"mangal_node_5067";"mangal_node_5071";"mangal_node_5068";"mangal_node_5058";"mangal_node_0594"
"mangal_node_0090";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"mangal_node_3909";1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"mangal_node_5056";1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_5057";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1
"mangal_node_5073";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3924";1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0
"mangal_node_5060";1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_3911";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5061";1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_5070";1;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;0;1
"mangal_node_5055";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_5059";1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_3933";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5069";1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_5074";1;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1
"mangal_node_3919";0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0
"mangal_node_3904";1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1
"mangal_node_3915";1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1
"mangal_node_5054";1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0
"mangal_node_5062";1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
"mangal_node_5063";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1
"mangal_node_5064";1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;0;1
"mangal_node_5065";1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_5072";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5066";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
"mangal_node_5067";1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1
"mangal_node_5071";1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_5068";1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1
"mangal_node_5058";1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0594";1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;1
