"";"gateway_node_2423";"gateway_node_3646";"gateway_node_2079";"gateway_node_4001";"gateway_node_805";"gateway_node_3147";"gateway_node_5232";"gateway_node_1151";"gateway_node_502";"gateway_node_3499";"gateway_node_3264";"gateway_node_2718";"gateway_node_3185";"gateway_node_4779";"gateway_node_3665";"gateway_node_3673";"gateway_node_1190";"gateway_node_22";"gateway_node_2592";"gateway_node_3738";"gateway_node_3740";"gateway_node_2031";"gateway_node_3455";"gateway_node_563";"gateway_node_356";"gateway_node_4598";"gateway_node_257";"gateway_node_4662";"gateway_node_2795";"gateway_node_3890";"gateway_node_5063";"gateway_node_2568";"gateway_node_1125";"gateway_node_1314";"gateway_node_4590";"gateway_node_1571";"gateway_node_2769";"gateway_node_2767";"gateway_node_3850"
"gateway_node_2423";0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0
"gateway_node_3646";0;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0
"gateway_node_2079";1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;0;0;1;1;0;1;1;0;0;0;1
"gateway_node_4001";1;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
"gateway_node_805";1;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0
"gateway_node_3147";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"gateway_node_5232";1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0
"gateway_node_1151";0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_502";0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0
"gateway_node_3499";1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
