"";"mangal_node_0237";"mangal_node_0238";"mangal_node_0231";"mangal_node_0090";"mangal_node_0232";"mangal_node_0233";"mangal_node_0234";"mangal_node_0235";"mangal_node_0236";"mangal_node_0239";"mangal_node_0240";"mangal_node_0241";"mangal_node_0242";"mangal_node_0243";"mangal_node_0244";"mangal_node_0245";"mangal_node_0246";"mangal_node_0247";"mangal_node_0248";"mangal_node_0250";"mangal_node_0251";"mangal_node_0230";"mangal_node_0252";"mangal_node_0249";"mangal_node_0253"
"mangal_node_0237";0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0238";0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_0231";0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"mangal_node_0090";1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_0232";0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1
"mangal_node_0233";1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
"mangal_node_0234";0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0235";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0236";0;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0
"mangal_node_0239";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0240";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0241";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_0242";0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0
"mangal_node_0243";0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;1;0
"mangal_node_0244";0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0245";1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_0246";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_0247";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_0248";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_0250";1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_0251";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_0230";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0252";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0249";0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0253";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
