"";"WOL_node_3919";"WOL_node_9471";"WOL_node_1072";"WOL_node_9770";"WOL_node_1535";"WOL_node_6464";"WOL_node_15718";"WOL_node_12626";"WOL_node_6958";"WOL_node_1303";"WOL_node_11435";"WOL_node_9032";"WOL_node_9033";"WOL_node_6959";"WOL_node_9028";"WOL_node_11247";"WOL_node_3737";"WOL_node_6418";"WOL_node_1349";"WOL_node_9030";"WOL_node_10250";"WOL_node_10560";"WOL_node_65";"WOL_node_6101";"WOL_node_9296";"WOL_node_11437";"WOL_node_6121";"WOL_node_5938";"WOL_node_9034";"WOL_node_1887";"WOL_node_10804";"WOL_node_6348";"WOL_node_9907";"WOL_node_10434";"WOL_node_9820";"WOL_node_11885";"WOL_node_6361";"WOL_node_7203";"WOL_node_11246";"WOL_node_11014"
"WOL_node_3919";1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_9471";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_1072";0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0
"WOL_node_9770";1;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;1
"WOL_node_1535";1;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;0
"WOL_node_6464";1;0;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0
"WOL_node_15718";0;0;1;1;0;1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0
"WOL_node_12626";1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6958";1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"WOL_node_1303";1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0
"WOL_node_11435";0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_9032";0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1
"WOL_node_9033";1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1
"WOL_node_6959";0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1
