"";"gateway_node_6";"gateway_node_2757";"gateway_node_2755";"gateway_node_2015";"gateway_node_2726";"gateway_node_4426";"gateway_node_2728";"gateway_node_2010";"gateway_node_4425";"gateway_node_4698";"gateway_node_2914";"gateway_node_4203";"gateway_node_489";"gateway_node_3579";"gateway_node_216";"gateway_node_1465";"gateway_node_1466";"gateway_node_2217";"gateway_node_2700";"gateway_node_3277";"gateway_node_3815";"gateway_node_4338";"gateway_node_4374";"gateway_node_4792";"gateway_node_4793";"gateway_node_2879";"gateway_node_151";"gateway_node_1077";"gateway_node_3108";"gateway_node_4344";"gateway_node_746";"gateway_node_4637";"gateway_node_2009";"gateway_node_2216";"gateway_node_1753";"gateway_node_3719";"gateway_node_781";"gateway_node_1766";"gateway_node_5188";"gateway_node_4565";"gateway_node_4450";"gateway_node_1731";"gateway_node_3457";"gateway_node_1587";"gateway_node_787";"gateway_node_4480";"gateway_node_1483";"gateway_node_1484";"gateway_node_2459";"gateway_node_3727";"gateway_node_368";"gateway_node_2818";"gateway_node_4083";"gateway_node_361";"gateway_node_2455";"gateway_node_371";"gateway_node_2813";"gateway_node_2821";"gateway_node_4129";"gateway_node_4131";"gateway_node_4130";"gateway_node_4977";"gateway_node_187";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_185";"gateway_node_3010";"gateway_node_4656";"gateway_node_1996";"gateway_node_2626";"gateway_node_3767";"gateway_node_4939";"gateway_node_5099";"gateway_node_5131";"gateway_node_5132";"gateway_node_5136";"gateway_node_5139";"gateway_node_5140";"gateway_node_2392";"gateway_node_3553";"gateway_node_3070";"gateway_node_3511";"gateway_node_3514";"gateway_node_3517";"gateway_node_5157";"gateway_node_4713";"gateway_node_2859";"gateway_node_4306";"gateway_node_3681";"gateway_node_3011";"gateway_node_3255";"gateway_node_4940";"gateway_node_2701";"gateway_node_3198";"gateway_node_496";"gateway_node_3864";"gateway_node_4246";"gateway_node_4800";"gateway_node_4388";"gateway_node_528";"gateway_node_1321";"gateway_node_3191";"gateway_node_3869";"gateway_node_4245";"gateway_node_4801";"gateway_node_2022";"gateway_node_2165";"gateway_node_1870";"gateway_node_1872";"gateway_node_2595";"gateway_node_51";"gateway_node_1871";"gateway_node_2598";"gateway_node_4962";"gateway_node_129";"gateway_node_100";"gateway_node_177";"gateway_node_888";"gateway_node_936";"gateway_node_3664";"gateway_node_1947";"gateway_node_3166";"gateway_node_4347";"gateway_node_157";"gateway_node_1320";"gateway_node_492";"gateway_node_1565";"gateway_node_181";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_6";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2757";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0
"gateway_node_2755";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
"gateway_node_2015";0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0
"gateway_node_2726";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_4426";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
"gateway_node_2728";0;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_2010";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"gateway_node_4425";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
"gateway_node_4698";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
