"";"WOL_node_15718";"WOL_node_3919";"WOL_node_9770";"WOL_node_8167";"WOL_node_10096";"WOL_node_1604";"WOL_node_11343";"WOL_node_10726";"WOL_node_3545";"WOL_node_11594";"WOL_node_6540";"WOL_node_11595";"WOL_node_2274";"WOL_node_5184";"WOL_node_5679";"WOL_node_5972";"WOL_node_8057";"WOL_node_8061";"WOL_node_5483";"WOL_node_7906";"WOL_node_12581";"WOL_node_9826";"WOL_node_8387";"WOL_node_5097";"WOL_node_12086";"WOL_node_3497";"WOL_node_11451";"WOL_node_6449";"WOL_node_5348";"WOL_node_15520"
"WOL_node_15718";1;0;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;1;0
"WOL_node_3919";0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0
"WOL_node_9770";1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;0
"WOL_node_8167";1;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0
"WOL_node_10096";1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
"WOL_node_1604";0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1
"WOL_node_11343";0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
"WOL_node_10726";1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;0;1
"WOL_node_3545";1;1;0;0;1;1;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1
"WOL_node_11594";1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1
"WOL_node_6540";0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1
"WOL_node_11595";1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_2274";0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0
"WOL_node_5184";0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1
"WOL_node_5679";1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1
"WOL_node_5972";0;0;1;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;1;1
"WOL_node_8057";1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1
"WOL_node_8061";1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1;1;1
"WOL_node_5483";1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1
"WOL_node_7906";1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1
"WOL_node_12581";1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1
"WOL_node_9826";1;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
"WOL_node_8387";0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1
"WOL_node_5097";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1
"WOL_node_12086";0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;0
"WOL_node_3497";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0
"WOL_node_11451";1;0;1;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;1;1
"WOL_node_6449";1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"WOL_node_5348";1;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1
"WOL_node_15520";1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1;1
