"";"gateway_node_1972";"gateway_node_5232";"gateway_node_4001";"gateway_node_2229";"gateway_node_3574";"gateway_node_3389";"gateway_node_2987";"gateway_node_610";"gateway_node_3176";"gateway_node_4662";"gateway_node_3645";"gateway_node_3435";"gateway_node_805";"gateway_node_4598";"gateway_node_3648";"gateway_node_4779";"gateway_node_3264";"gateway_node_2423";"gateway_node_3455";"gateway_node_2775";"gateway_node_2031";"gateway_node_2029";"gateway_node_3890";"gateway_node_5063";"gateway_node_5064";"gateway_node_5062";"gateway_node_4364";"gateway_node_1935";"gateway_node_1432";"gateway_node_1541";"gateway_node_4033";"gateway_node_1155";"gateway_node_2789";"gateway_node_981";"gateway_node_2941";"gateway_node_1948";"gateway_node_3653"
"gateway_node_1972";1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_5232";1;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
"gateway_node_4001";1;0;0;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1
"gateway_node_2229";1;1;0;1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0
"gateway_node_3574";0;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1
"gateway_node_3389";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_2987";0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1
"gateway_node_610";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3176";1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_4662";1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_3645";1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_3435";1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"gateway_node_805";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1
"gateway_node_4598";1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_3648";1;1;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1
"gateway_node_4779";1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0
"gateway_node_3264";0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_2423";0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1
"gateway_node_3455";0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1
"gateway_node_2775";0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;1;0;1;0
"gateway_node_2031";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_2029";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_3890";0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_5063";1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5064";1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5062";1;0;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0
"gateway_node_4364";0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0
"gateway_node_1935";1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1432";1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;1
"gateway_node_1541";1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4033";1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
