"";"gateway_node_243";"gateway_node_963";"gateway_node_1416";"gateway_node_2448";"gateway_node_2647";"gateway_node_2648";"gateway_node_3946";"gateway_node_4134";"gateway_node_4551";"gateway_node_4917";"gateway_node_4373";"gateway_node_1200";"gateway_node_1878";"gateway_node_653";"gateway_node_1741";"gateway_node_1742";"gateway_node_1743";"gateway_node_1745";"gateway_node_3789";"gateway_node_4764"
"gateway_node_243";1;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0
"gateway_node_963";0;0;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0
"gateway_node_1416";0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_2448";0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_2647";1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1
"gateway_node_2648";0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1
"gateway_node_3946";1;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0
"gateway_node_4134";1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;1
"gateway_node_4551";0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_4917";0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0
"gateway_node_4373";0;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0
"gateway_node_1200";1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1
"gateway_node_1878";1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
"gateway_node_653";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1741";1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1742";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_1743";1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_1745";1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_3789";0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4764";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
