"";"gateway_node_3201";"gateway_node_105";"gateway_node_2423";"gateway_node_5034";"gateway_node_4001";"gateway_node_2719";"gateway_node_2718";"gateway_node_1190";"gateway_node_3645";"gateway_node_2079";"gateway_node_3613";"gateway_node_4988";"gateway_node_1972";"gateway_node_3499";"gateway_node_4108";"gateway_node_3147";"gateway_node_3185";"gateway_node_5232";"gateway_node_4574";"gateway_node_1151";"gateway_node_502";"gateway_node_113";"gateway_node_3264";"gateway_node_3435";"gateway_node_3673";"gateway_node_22";"gateway_node_2592";"gateway_node_3740";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_4598";"gateway_node_3140";"gateway_node_257";"gateway_node_4662";"gateway_node_5183";"gateway_node_3916";"gateway_node_282";"gateway_node_1653";"gateway_node_3267";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_1125";"gateway_node_606";"gateway_node_1314";"gateway_node_4590";"gateway_node_1432";"gateway_node_1427";"gateway_node_1571";"gateway_node_2769";"gateway_node_981";"gateway_node_2004"
"gateway_node_3201";0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_105";0;0;1;0;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"gateway_node_2423";1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0
"gateway_node_5034";0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4001";0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
"gateway_node_2719";0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1
"gateway_node_2718";1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1
"gateway_node_1190";1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1
"gateway_node_3645";0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1
"gateway_node_2079";1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1
"gateway_node_3613";0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1
"gateway_node_4988";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;1
"gateway_node_1972";0;1;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1
"gateway_node_3499";0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1
"gateway_node_4108";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3147";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_3185";0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5232";0;0;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0
"gateway_node_4574";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1151";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
