"";"gateway_node_4001";"gateway_node_2719";"gateway_node_2718";"gateway_node_1190";"gateway_node_805";"gateway_node_3257";"gateway_node_3379";"gateway_node_2423";"gateway_node_3201";"gateway_node_3646";"gateway_node_3645";"gateway_node_5232";"gateway_node_548";"gateway_node_4062";"gateway_node_1543";"gateway_node_3147";"gateway_node_4988";"gateway_node_807";"gateway_node_5043";"gateway_node_1017";"gateway_node_502";"gateway_node_3435";"gateway_node_3185";"gateway_node_4779";"gateway_node_2467";"gateway_node_463";"gateway_node_3673";"gateway_node_105";"gateway_node_22";"gateway_node_2592";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_356";"gateway_node_4598";"gateway_node_4662";"gateway_node_729";"gateway_node_2644";"gateway_node_5183";"gateway_node_3916";"gateway_node_282";"gateway_node_5040";"gateway_node_3267";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_1125";"gateway_node_606";"gateway_node_1314";"gateway_node_4590";"gateway_node_1432";"gateway_node_3630";"gateway_node_456";"gateway_node_1571";"gateway_node_2769";"gateway_node_865"
"gateway_node_4001";0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0
"gateway_node_2719";1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"gateway_node_2718";1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1
"gateway_node_1190";1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1
"gateway_node_805";1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1
"gateway_node_3257";1;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;0;1;1;0;1
"gateway_node_3379";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
"gateway_node_2423";1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1
"gateway_node_3201";0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3646";0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;1
