"";"gateway_node_10";"gateway_node_5016";"gateway_node_4565";"gateway_node_747";"gateway_node_645";"gateway_node_3457";"gateway_node_1587";"gateway_node_4449";"gateway_node_1484";"gateway_node_2753";"gateway_node_2750";"gateway_node_2755";"gateway_node_216";"gateway_node_2017";"gateway_node_2751";"gateway_node_2727";"gateway_node_781";"gateway_node_3097";"gateway_node_2009";"gateway_node_1766";"gateway_node_2458";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_2818";"gateway_node_4083";"gateway_node_362";"gateway_node_2821";"gateway_node_3397";"gateway_node_483";"gateway_node_1070";"gateway_node_1466";"gateway_node_3064";"gateway_node_3276";"gateway_node_3277";"gateway_node_3815";"gateway_node_4338";"gateway_node_4374";"gateway_node_4792";"gateway_node_5170";"gateway_node_1665";"gateway_node_2726";"gateway_node_783";"gateway_node_2760";"gateway_node_4339";"gateway_node_760";"gateway_node_4637";"gateway_node_2216";"gateway_node_4885";"gateway_node_844";"gateway_node_4129";"gateway_node_4131";"gateway_node_2666";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_4976";"gateway_node_986";"gateway_node_4979";"gateway_node_1994";"gateway_node_2313";"gateway_node_2579";"gateway_node_2887";"gateway_node_3627";"gateway_node_3767";"gateway_node_4305";"gateway_node_5096";"gateway_node_5098";"gateway_node_5099";"gateway_node_5132";"gateway_node_5136";"gateway_node_5139";"gateway_node_599";"gateway_node_3553";"gateway_node_3511";"gateway_node_3517";"gateway_node_4713";"gateway_node_1995";"gateway_node_2858";"gateway_node_2866";"gateway_node_3617";"gateway_node_2890";"gateway_node_125";"gateway_node_126";"gateway_node_496";"gateway_node_3864";"gateway_node_3867";"gateway_node_4247";"gateway_node_4388";"gateway_node_528";"gateway_node_1635";"gateway_node_2653";"gateway_node_3866";"gateway_node_4245";"gateway_node_4801";"gateway_node_2700";"gateway_node_4345";"gateway_node_1870";"gateway_node_2596";"gateway_node_4919";"gateway_node_2049";"gateway_node_2598";"gateway_node_1583";"gateway_node_1584";"gateway_node_3103";"gateway_node_4962";"gateway_node_1097";"gateway_node_888";"gateway_node_936";"gateway_node_1966";"gateway_node_3664";"gateway_node_1947";"gateway_node_4648";"gateway_node_3166";"gateway_node_4347";"gateway_node_492";"gateway_node_181";"gateway_node_1117";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_10";0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0
"gateway_node_5016";1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_4565";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
"gateway_node_747";0;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
"gateway_node_645";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_3457";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1;1
"gateway_node_1587";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0
"gateway_node_4449";0;1;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1
"gateway_node_1484";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2753";1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
