"";"gateway_node_374";"gateway_node_535";"gateway_node_604";"gateway_node_663";"gateway_node_742";"gateway_node_743";"gateway_node_850";"gateway_node_1184";"gateway_node_1198";"gateway_node_1204";"gateway_node_1416";"gateway_node_1573";"gateway_node_1623";"gateway_node_1655";"gateway_node_1979";"gateway_node_1985";"gateway_node_2171";"gateway_node_2172";"gateway_node_2261";"gateway_node_2263";"gateway_node_2342";"gateway_node_2366";"gateway_node_2368";"gateway_node_2602";"gateway_node_2677";"gateway_node_2681";"gateway_node_2843";"gateway_node_2895";"gateway_node_3195";"gateway_node_3435";"gateway_node_3690";"gateway_node_3855";"gateway_node_3919";"gateway_node_3923";"gateway_node_3995";"gateway_node_3997";"gateway_node_4027";"gateway_node_4077";"gateway_node_4116";"gateway_node_4171";"gateway_node_4293";"gateway_node_4373";"gateway_node_4517";"gateway_node_4526";"gateway_node_4536";"gateway_node_4537";"gateway_node_4786";"gateway_node_4892";"gateway_node_5209";"gateway_node_251";"gateway_node_252";"gateway_node_254";"gateway_node_1087";"gateway_node_1090";"gateway_node_1091";"gateway_node_1093";"gateway_node_2099";"gateway_node_2100";"gateway_node_2101";"gateway_node_2984";"gateway_node_3210";"gateway_node_3211";"gateway_node_3218";"gateway_node_3219";"gateway_node_3221";"gateway_node_3229";"gateway_node_3233";"gateway_node_3234";"gateway_node_3235";"gateway_node_3237";"gateway_node_3242";"gateway_node_3249";"gateway_node_3250";"gateway_node_3322";"gateway_node_3326";"gateway_node_3327";"gateway_node_3331";"gateway_node_3335";"gateway_node_3337";"gateway_node_3340";"gateway_node_3344";"gateway_node_3685";"gateway_node_1294";"gateway_node_1882";"gateway_node_1887";"gateway_node_1894";"gateway_node_4317";"gateway_node_57";"gateway_node_59";"gateway_node_62";"gateway_node_64";"gateway_node_70";"gateway_node_1594";"gateway_node_1595";"gateway_node_3001";"gateway_node_4646";"gateway_node_4647";"gateway_node_4178";"gateway_node_4764";"gateway_node_2464";"gateway_node_3886";"gateway_node_4161";"gateway_node_2145";"gateway_node_2146";"gateway_node_465";"gateway_node_1570";"gateway_node_1997";"gateway_node_1491";"gateway_node_1574";"gateway_node_4213"
"gateway_node_374";1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_535";1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_604";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_663";1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_742";1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_743";1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_850";1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1184";1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1198";1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"gateway_node_1204";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1416";0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1573";1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1623";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1655";1;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1979";1;1;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
"gateway_node_1985";1;1;0;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
