"";"gateway_node_3201";"gateway_node_106";"gateway_node_2423";"gateway_node_5034";"gateway_node_4001";"gateway_node_3646";"gateway_node_2079";"gateway_node_2588";"gateway_node_805";"gateway_node_4988";"gateway_node_1972";"gateway_node_3147";"gateway_node_3185";"gateway_node_5232";"gateway_node_565";"gateway_node_636";"gateway_node_289";"gateway_node_5043";"gateway_node_5041";"gateway_node_502";"gateway_node_113";"gateway_node_3499";"gateway_node_3264";"gateway_node_3435";"gateway_node_3091";"gateway_node_3665";"gateway_node_3673";"gateway_node_22";"gateway_node_2592";"gateway_node_2618";"gateway_node_3740";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_356";"gateway_node_4598";"gateway_node_3140";"gateway_node_257";"gateway_node_4662";"gateway_node_5183";"gateway_node_3916";"gateway_node_2939";"gateway_node_5040";"gateway_node_282";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_606";"gateway_node_4590";"gateway_node_4366";"gateway_node_1432";"gateway_node_456";"gateway_node_1571";"gateway_node_865";"gateway_node_981";"gateway_node_2000";"gateway_node_2119"
"gateway_node_3201";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_106";0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
"gateway_node_2423";1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_5034";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_4001";0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3646";0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;1;0
"gateway_node_2079";0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0
"gateway_node_2588";0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_805";0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1
"gateway_node_4988";0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0
"gateway_node_1972";0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1
"gateway_node_3147";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_3185";0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5232";0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1
"gateway_node_565";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
