"";"gateway_node_583";"gateway_node_1972";"gateway_node_5232";"gateway_node_4085";"gateway_node_2718";"gateway_node_1190";"gateway_node_2782";"gateway_node_3435";"gateway_node_4001";"gateway_node_2423";"gateway_node_3668";"gateway_node_3455";"gateway_node_3645";"gateway_node_5040";"gateway_node_3890";"gateway_node_832";"gateway_node_1042";"gateway_node_2195";"gateway_node_4400";"gateway_node_3630";"gateway_node_1156";"gateway_node_4987"
"gateway_node_583";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1972";0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1
"gateway_node_5232";0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_4085";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_2718";0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1
"gateway_node_1190";0;1;1;0;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1
"gateway_node_2782";0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1
"gateway_node_3435";0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_4001";1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0
"gateway_node_2423";0;1;0;0;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;0
"gateway_node_3668";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1
"gateway_node_3455";0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1
"gateway_node_3645";0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1
"gateway_node_5040";0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_3890";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"gateway_node_832";0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1
"gateway_node_1042";0;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_2195";0;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_4400";0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
"gateway_node_3630";0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0
"gateway_node_1156";0;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
"gateway_node_4987";0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0
