"";"gateway_node_4111";"gateway_node_2678";"gateway_node_2308";"gateway_node_4526";"gateway_node_1522";"gateway_node_2419";"gateway_node_140";"gateway_node_141";"gateway_node_2363";"gateway_node_721";"gateway_node_3371";"gateway_node_4731";"gateway_node_134";"gateway_node_2634";"gateway_node_1585";"gateway_node_24";"gateway_node_414";"gateway_node_3995";"gateway_node_2808";"gateway_node_1591";"gateway_node_4404";"gateway_node_1020";"gateway_node_1165";"gateway_node_1166";"gateway_node_2271";"gateway_node_2272";"gateway_node_396";"gateway_node_4532";"gateway_node_1186";"gateway_node_965";"gateway_node_2063";"gateway_node_4791";"gateway_node_964";"gateway_node_1364"
"gateway_node_4111";1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1
"gateway_node_2678";1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"gateway_node_2308";1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0
"gateway_node_4526";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1
"gateway_node_1522";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0
"gateway_node_2419";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1
"gateway_node_140";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0
"gateway_node_141";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1
"gateway_node_2363";0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1
"gateway_node_721";1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0
"gateway_node_3371";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"gateway_node_4731";0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1
"gateway_node_134";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"gateway_node_2634";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1
"gateway_node_1585";1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1
"gateway_node_24";1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0
"gateway_node_414";1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0
"gateway_node_3995";1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2808";0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_1591";0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_4404";1;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
"gateway_node_1020";1;0;1;1;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1165";1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"gateway_node_1166";0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1
"gateway_node_2271";0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_2272";0;0;1;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
"gateway_node_396";0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"gateway_node_4532";1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_1186";0;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1
"gateway_node_965";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_2063";1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1
"gateway_node_4791";1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0
"gateway_node_964";0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0
"gateway_node_1364";1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1
