"";"gateway_node_1847";"gateway_node_1022";"gateway_node_1380";"gateway_node_1381";"gateway_node_2496";"gateway_node_2491";"gateway_node_1332";"gateway_node_2314";"gateway_node_3994";"gateway_node_1139";"gateway_node_1374";"gateway_node_1150";"gateway_node_1275";"gateway_node_4380";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1234";"gateway_node_2909";"gateway_node_1448";"gateway_node_4429";"gateway_node_637"
"gateway_node_1847";1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;0;0
"gateway_node_1022";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
"gateway_node_1380";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1
"gateway_node_1381";1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1
"gateway_node_2496";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_2491";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"gateway_node_1332";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"gateway_node_2314";1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0
"gateway_node_3994";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_1139";1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_1374";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_1150";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"gateway_node_1275";1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1
"gateway_node_4380";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_596";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_1845";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3475";0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_1234";1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_2909";0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1448";0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4429";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_637";1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
