"";"mangal_node_0257";"mangal_node_0258";"mangal_node_0259";"mangal_node_0090";"mangal_node_0262";"mangal_node_0263";"mangal_node_0266";"mangal_node_0234";"mangal_node_0235";"mangal_node_0236";"mangal_node_0267";"mangal_node_0268";"mangal_node_0269";"mangal_node_0239";"mangal_node_0270";"mangal_node_0271";"mangal_node_0240";"mangal_node_0272";"mangal_node_0260";"mangal_node_0261";"mangal_node_0265";"mangal_node_0255";"mangal_node_0256";"mangal_node_0264";"mangal_node_0232";"mangal_node_0273";"mangal_node_0274";"mangal_node_0275";"mangal_node_0249";"mangal_node_0276";"mangal_node_0285";"mangal_node_0286";"mangal_node_0287";"mangal_node_0288";"mangal_node_0251";"mangal_node_0254";"mangal_node_0290";"mangal_node_0291";"mangal_node_0292";"mangal_node_0242";"mangal_node_0243";"mangal_node_0277";"mangal_node_0245";"mangal_node_0278";"mangal_node_0246";"mangal_node_0279";"mangal_node_0280";"mangal_node_0281";"mangal_node_0282";"mangal_node_0283";"mangal_node_0284";"mangal_node_0289"
"mangal_node_0257";1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0
"mangal_node_0258";1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0259";1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0090";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0262";1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0263";1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0266";0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0234";0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0235";1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0236";1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1
"mangal_node_0267";0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0268";1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0269";1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0239";1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0270";1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0271";1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
