"";"mangal_node_0090";"mangal_node_0255";"mangal_node_0262";"mangal_node_0263";"mangal_node_0295";"mangal_node_0232";"mangal_node_0346";"mangal_node_0234";"mangal_node_0236";"mangal_node_0268";"mangal_node_0330";"mangal_node_0239";"mangal_node_0341";"mangal_node_0270";"mangal_node_0392";"mangal_node_0271";"mangal_node_0343";"mangal_node_0272";"mangal_node_0345";"mangal_node_0242";"mangal_node_0243";"mangal_node_0245";"mangal_node_0278";"mangal_node_0279";"mangal_node_0314";"mangal_node_0385";"mangal_node_0400";"mangal_node_0284";"mangal_node_0285";"mangal_node_0287";"mangal_node_0401";"mangal_node_0248";"mangal_node_0251";"mangal_node_0347";"mangal_node_0319";"mangal_node_0304";"mangal_node_0290";"mangal_node_0353"
"mangal_node_0090";1;1;1;1;0;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0
"mangal_node_0255";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0262";1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_0263";1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"mangal_node_0295";0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0232";1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0
"mangal_node_0346";1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1
"mangal_node_0234";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0236";1;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;1;0;0
"mangal_node_0268";1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
