"";"gateway_node_717";"gateway_node_2692";"gateway_node_4267";"gateway_node_821";"gateway_node_2961";"gateway_node_3965";"gateway_node_4995";"gateway_node_1938";"gateway_node_2683";"gateway_node_3971";"gateway_node_679";"gateway_node_4016";"gateway_node_714";"gateway_node_1553";"gateway_node_943";"gateway_node_114";"gateway_node_1552";"gateway_node_716";"gateway_node_3612";"gateway_node_404";"gateway_node_3813";"gateway_node_2620";"gateway_node_3687";"gateway_node_28";"gateway_node_2032";"gateway_node_2405";"gateway_node_4115";"gateway_node_942";"gateway_node_4959";"gateway_node_120";"gateway_node_3000";"gateway_node_1551";"gateway_node_3388";"gateway_node_3383";"gateway_node_4675";"gateway_node_3385";"gateway_node_2540";"gateway_node_5094";"gateway_node_2250";"gateway_node_1292";"gateway_node_689";"gateway_node_2542";"gateway_node_1944";"gateway_node_2541";"gateway_node_1177";"gateway_node_897";"gateway_node_2546";"gateway_node_1055";"gateway_node_47";"gateway_node_3722";"gateway_node_809";"gateway_node_3268";"gateway_node_1267";"gateway_node_2294";"gateway_node_2254";"gateway_node_2933";"gateway_node_32";"gateway_node_1310";"gateway_node_4950";"gateway_node_4272";"gateway_node_4615";"gateway_node_2055";"gateway_node_1311";"gateway_node_584";"gateway_node_5023";"gateway_node_411";"gateway_node_2128";"gateway_node_2295";"gateway_node_4269";"gateway_node_2142";"gateway_node_3730";"gateway_node_804";"gateway_node_121";"gateway_node_1149";"gateway_node_4850";"gateway_node_1256";"gateway_node_2406";"gateway_node_3065";"gateway_node_5024";"gateway_node_3016";"gateway_node_447";"gateway_node_4100";"gateway_node_4163";"gateway_node_4167";"gateway_node_3264";"gateway_node_1066";"gateway_node_4849";"gateway_node_4270";"gateway_node_4684";"gateway_node_5076";"gateway_node_3840";"gateway_node_819";"gateway_node_4271";"gateway_node_507";"gateway_node_1722";"gateway_node_4229";"gateway_node_3733";"gateway_node_5077";"gateway_node_1873";"gateway_node_769";"gateway_node_2054";"gateway_node_1239";"gateway_node_3185";"gateway_node_103";"gateway_node_893";"gateway_node_1273";"gateway_node_1625";"gateway_node_2127";"gateway_node_3574";"gateway_node_4969";"gateway_node_3294";"gateway_node_5056";"gateway_node_480";"gateway_node_349";"gateway_node_4013";"gateway_node_3929";"gateway_node_4970";"gateway_node_2257";"gateway_node_3562";"gateway_node_3601";"gateway_node_5087";"gateway_node_272";"gateway_node_4774";"gateway_node_4776";"gateway_node_4773";"gateway_node_267";"gateway_node_270";"gateway_node_269";"gateway_node_268";"gateway_node_4137";"gateway_node_2875";"gateway_node_4070";"gateway_node_3893";"gateway_node_4403";"gateway_node_3386";"gateway_node_2877";"gateway_node_3435";"gateway_node_458";"gateway_node_2960";"gateway_node_1169";"gateway_node_1479";"gateway_node_2221";"gateway_node_3466";"gateway_node_4945";"gateway_node_820";"gateway_node_4857";"gateway_node_1646";"gateway_node_3891";"gateway_node_2880";"gateway_node_4370";"gateway_node_1488";"gateway_node_1910";"gateway_node_2479";"gateway_node_2689";"gateway_node_3105";"gateway_node_1159";"gateway_node_1263";"gateway_node_2927";"gateway_node_1365";"gateway_node_813"
"gateway_node_717";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2692";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4267";0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_821";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2961";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3965";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4995";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1938";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
"gateway_node_2683";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3971";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
