"";"gateway_node_2755";"gateway_node_4425";"gateway_node_4207";"gateway_node_2066";"gateway_node_3815";"gateway_node_4209";"gateway_node_4637";"gateway_node_781";"gateway_node_3478";"gateway_node_2009";"gateway_node_4885";"gateway_node_489";"gateway_node_2020";"gateway_node_2700";"gateway_node_3064";"gateway_node_3277";"gateway_node_4792";"gateway_node_4794";"gateway_node_746";"gateway_node_5188";"gateway_node_2721";"gateway_node_645";"gateway_node_3551";"gateway_node_3457";"gateway_node_1587";"gateway_node_879";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_4083";"gateway_node_2815";"gateway_node_484";"gateway_node_2701";"gateway_node_3044";"gateway_node_4127";"gateway_node_1599";"gateway_node_3192";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_3010";"gateway_node_2388";"gateway_node_2575";"gateway_node_2626";"gateway_node_4939";"gateway_node_5101";"gateway_node_5102";"gateway_node_5139";"gateway_node_5140";"gateway_node_3553";"gateway_node_3070";"gateway_node_3362";"gateway_node_3514";"gateway_node_2863";"gateway_node_5157";"gateway_node_5218";"gateway_node_5219";"gateway_node_4713";"gateway_node_3013";"gateway_node_3009";"gateway_node_3766";"gateway_node_4940";"gateway_node_1324";"gateway_node_4799";"gateway_node_4388";"gateway_node_528";"gateway_node_3191";"gateway_node_3869";"gateway_node_4332";"gateway_node_1870";"gateway_node_2596";"gateway_node_51";"gateway_node_177";"gateway_node_933";"gateway_node_936";"gateway_node_1755";"gateway_node_1947";"gateway_node_646";"gateway_node_3166";"gateway_node_4347";"gateway_node_157";"gateway_node_181";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_2755";1;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4425";1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0
"gateway_node_4207";0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"gateway_node_2066";1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_3815";0;1;0;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_4209";0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
"gateway_node_4637";1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"gateway_node_781";1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
"gateway_node_3478";1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
"gateway_node_2009";1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
"gateway_node_4885";1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_489";1;1;0;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1
"gateway_node_2020";1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_2700";1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_3064";0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_3277";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_4792";1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4794";1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_746";0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1;0;0
"gateway_node_5188";1;1;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0
"gateway_node_2721";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
"gateway_node_645";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3551";1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3457";1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1
"gateway_node_1587";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_879";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0
"gateway_node_2459";1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"gateway_node_2953";0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_3727";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
