"";"P22_node_12066";"P22_node_14424";"P22_node_14393";"P22_node_14394";"P22_node_5354";"P22_node_10755";"P22_node_10915";"P22_node_14351";"P22_node_14436";"P22_node_14437";"P22_node_14345";"P22_node_14016";"P22_node_14397";"P22_node_14399";"P22_node_14400";"P22_node_14401";"P22_node_10920";"P22_node_14438";"P22_node_5207";"P22_node_12042";"P22_node_14439";"P22_node_14352";"P22_node_10493";"P22_node_10494";"P22_node_12782";"P22_node_14408";"P22_node_14365";"P22_node_14440";"P22_node_14411";"P22_node_14367";"P22_node_14412";"P22_node_14413";"P22_node_14369";"P22_node_8616";"P22_node_14416";"P22_node_14441";"P22_node_14442";"P22_node_14371";"P22_node_14443";"P22_node_14444";"P22_node_5438";"P22_node_11629";"P22_node_14445";"P22_node_14376";"P22_node_14378";"P22_node_14446";"P22_node_14435";"P22_node_14381";"P22_node_14429";"P22_node_14383";"P22_node_14384";"P22_node_14385";"P22_node_14386";"P22_node_14447";"P22_node_5182";"P22_node_14448";"P22_node_11636";"P22_node_14372";"P22_node_10972"
"P22_node_3995";1;1;0;0;1;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1
"P22_node_3965";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3990";0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_4005";0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2774";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_4007";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4008";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4009";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"P22_node_3986";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3982";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
