"";"WOL_node_11468";"WOL_node_1012";"WOL_node_3563";"WOL_node_4778";"WOL_node_10447";"WOL_node_12586";"WOL_node_5376";"WOL_node_3015";"WOL_node_8058";"WOL_node_10930";"WOL_node_985"
"WOL_node_1031";1;0;0;0;0;0;0;0;0;0;0
"WOL_node_11987";1;1;1;1;1;1;0;0;0;0;0
"WOL_node_8895";0;0;0;0;1;0;0;0;0;0;0
"WOL_node_8182";1;1;1;1;1;0;1;0;0;0;0
"WOL_node_12350";1;0;0;0;1;0;0;0;1;0;0
"WOL_node_2912";0;1;0;1;1;0;0;0;0;0;0
"WOL_node_2459";0;0;0;0;0;1;0;1;0;0;0
"WOL_node_4338";0;0;1;0;0;0;0;0;0;0;0
"WOL_node_4700";0;0;0;0;0;1;0;0;0;0;0
"WOL_node_5084";1;0;0;0;1;1;0;1;0;0;0
"WOL_node_5945";0;0;0;0;0;1;0;0;1;1;0
"WOL_node_6087";0;0;0;0;0;0;1;0;0;0;0
"WOL_node_6502";0;1;0;0;0;0;0;0;0;0;0
"WOL_node_7068";0;0;0;1;0;0;0;0;0;0;0
"WOL_node_7715";1;1;1;1;1;1;1;1;1;0;1
"WOL_node_8644";0;1;0;0;0;0;1;0;0;0;0
"WOL_node_8835";1;0;0;1;0;0;0;0;0;0;0
"WOL_node_8864";0;0;1;0;0;0;1;0;0;0;0
"WOL_node_8911";0;0;0;0;1;0;1;0;0;0;0
"WOL_node_9093";1;1;1;0;1;1;1;1;0;0;0
"WOL_node_9404";0;1;0;0;0;0;0;0;0;0;0
"WOL_node_11989";1;1;1;1;0;1;1;0;0;0;0
"WOL_node_11990";1;1;0;1;0;0;1;1;0;0;0
"WOL_node_12151";0;0;0;0;0;0;0;1;0;0;0
"WOL_node_12337";0;0;0;0;0;0;1;0;0;0;0
"WOL_node_15725";0;1;0;0;1;0;1;0;0;0;0
"WOL_node_1796";0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2545";0;0;0;0;1;0;1;0;0;0;0
"WOL_node_2794";0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2946";0;0;1;0;0;0;0;0;0;0;0
"WOL_node_4621";0;0;1;0;0;0;0;0;0;0;0
"WOL_node_7321";0;0;0;0;0;1;0;0;0;0;0
"WOL_node_8048";0;0;1;1;0;1;0;0;0;0;0
"WOL_node_8295";0;1;1;0;0;0;1;0;0;0;1
"WOL_node_10537";0;0;0;0;0;0;1;0;0;0;0
"WOL_node_11055";0;1;0;0;0;0;0;0;0;0;0
"WOL_node_11277";0;1;0;0;0;0;0;0;0;0;0
"WOL_node_11280";0;0;1;0;0;0;0;0;0;0;0
"WOL_node_12427";1;0;0;0;0;0;0;0;0;0;0
