"";"D22net8_col_1";"D22net8_col_3";"D22net8_col_4";"D22net8_col_5";"D22net8_col_9";"D22net8_col_10";"D22net8_col_2";"D22net8_col_7";"D22net8_col_11";"D22net8_col_8";"D22net8_col_6"
"D22net8_row_1";1;1;1;0;1;1;0;1;0;0;0
"D22net8_row_2";0;1;0;1;1;0;0;0;0;0;0
"D22net8_row_3";1;0;0;0;0;0;1;0;0;0;0
"D22net8_row_4";0;0;0;0;0;0;1;0;0;1;0
"D22net8_row_5";1;0;0;0;0;0;0;0;1;0;0
"D22net8_row_6";1;0;0;0;0;0;0;0;0;0;0
"D22net8_row_7";0;0;0;1;0;0;0;0;0;0;0
"D22net8_row_8";0;0;1;0;0;0;0;0;0;0;0
"D22net8_row_9";1;0;0;0;0;0;0;0;0;0;0
"D22net8_row_10";0;0;0;0;0;0;1;0;0;0;0
"D22net8_row_11";0;0;0;0;0;0;1;0;0;0;0
"D22net8_row_12";0;0;0;0;0;0;1;0;0;0;0
"D22net8_row_13";0;0;0;0;0;0;0;0;0;0;1
"D22net8_row_14";0;0;1;0;0;0;0;0;0;0;0
"D22net8_row_15";0;1;0;0;0;0;0;0;0;0;0
"D22net8_row_16";0;1;0;0;0;0;0;0;0;0;0
"D22net8_row_17";0;1;0;0;0;0;0;0;0;0;0
"D22net8_row_18";0;0;0;0;0;0;0;0;1;0;0
"D22net8_row_19";0;0;0;0;1;0;0;0;0;0;0
"D22net8_row_20";0;0;1;0;0;0;0;0;0;0;0
"D22net8_row_21";1;0;0;0;0;0;0;0;0;0;0
"D22net8_row_22";0;0;0;0;0;1;0;0;0;0;0
"D22net8_row_23";1;0;0;0;0;0;0;0;0;0;0
"D22net8_row_24";1;0;0;0;0;0;0;0;0;0;0
"D22net8_row_25";0;0;0;0;0;0;1;0;0;0;0
"D22net8_row_26";0;0;0;0;0;0;0;0;0;0;1
"D22net8_row_27";0;1;0;0;0;0;0;0;0;0;0
"D22net8_row_28";0;0;0;0;0;0;0;1;0;0;0
