"";"WOL_node_7207";"WOL_node_1416";"WOL_node_10742";"WOL_node_7019";"WOL_node_3820";"WOL_node_11491";"WOL_node_11642";"WOL_node_3544";"WOL_node_1554";"WOL_node_5248"
"WOL_node_1031";0;0;0;1;0;0;1;0;0;1
"WOL_node_6264";1;1;0;0;1;1;0;1;0;1
"WOL_node_13595";0;1;0;1;0;0;0;1;1;0
"WOL_node_14114";1;1;0;1;0;0;0;1;0;0
"WOL_node_1719";1;1;0;0;0;0;1;0;0;0
"WOL_node_6949";0;1;1;0;1;0;0;0;0;0
"WOL_node_7225";0;0;1;0;0;1;0;0;0;0
"WOL_node_14738";0;1;0;0;0;0;0;0;0;0
"WOL_node_2009";0;1;0;0;0;0;0;0;0;0
"WOL_node_14868";0;0;0;0;0;0;0;1;0;0
"WOL_node_14987";0;1;0;0;0;0;0;0;0;0
"WOL_node_8157";0;0;0;0;1;0;0;0;0;0
