"";"P22_node_5107";"P22_node_5108";"P22_node_5109";"P22_node_5110";"P22_node_5111";"P22_node_5112";"P22_node_5113";"P22_node_5114";"P22_node_5115";"P22_node_5116";"P22_node_5117";"P22_node_5118";"P22_node_5119";"P22_node_5120";"P22_node_5121";"P22_node_5122";"P22_node_5123";"P22_node_5124";"P22_node_5125";"P22_node_5126";"P22_node_5127";"P22_node_5128";"P22_node_5129";"P22_node_5130";"P22_node_5131";"P22_node_5132";"P22_node_5133";"P22_node_5134";"P22_node_5135";"P22_node_5136";"P22_node_5137";"P22_node_5138";"P22_node_5139";"P22_node_5140";"P22_node_5141";"P22_node_5142";"P22_node_5143";"P22_node_5144";"P22_node_5145";"P22_node_5146";"P22_node_5147";"P22_node_5148";"P22_node_5149";"P22_node_5150";"P22_node_5151";"P22_node_5152";"P22_node_5153";"P22_node_5154";"P22_node_5155";"P22_node_5156";"P22_node_5157";"P22_node_5158";"P22_node_5159";"P22_node_5160";"P22_node_5161";"P22_node_5162";"P22_node_5163";"P22_node_5164";"P22_node_5165";"P22_node_5166";"P22_node_5167";"P22_node_5168";"P22_node_5169";"P22_node_5170";"P22_node_5171";"P22_node_5172";"P22_node_5173";"P22_node_5174";"P22_node_5175";"P22_node_5176";"P22_node_5177";"P22_node_5178";"P22_node_5179";"P22_node_5180";"P22_node_5181";"P22_node_5182";"P22_node_5183";"P22_node_5184";"P22_node_5185";"P22_node_5186";"P22_node_5187";"P22_node_5188";"P22_node_5189";"P22_node_5190";"P22_node_5191";"P22_node_5192";"P22_node_5193";"P22_node_5194";"P22_node_5195";"P22_node_5196";"P22_node_5197";"P22_node_5198";"P22_node_5199";"P22_node_5200";"P22_node_5201";"P22_node_5202";"P22_node_5203";"P22_node_5204"
"P22_node_1";1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2";0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3";0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
"P22_node_4";0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
"P22_node_5";0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0
"P22_node_6";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
"P22_node_7";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
"P22_node_8";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_9";0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_10";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
