"";"AI22_node_1933";"AI22_node_1656";"AI22_node_2154";"AI22_node_2539";"AI22_node_2547";"AI22_node_2558";"AI22_node_2267";"AI22_node_137";"AI22_node_3394";"AI22_node_723";"AI22_node_88";"AI22_node_434";"AI22_node_1654";"AI22_node_1655";"AI22_node_1727";"AI22_node_2123";"AI22_node_2147";"AI22_node_2266";"AI22_node_2268";"AI22_node_2309";"AI22_node_2310";"AI22_node_2311";"AI22_node_2319";"AI22_node_2353";"AI22_node_2499";"AI22_node_2550";"AI22_node_2555";"AI22_node_2560";"AI22_node_2602";"AI22_node_2775";"AI22_node_2988";"AI22_node_2556";"AI22_node_94";"AI22_node_1881";"AI22_node_2221";"AI22_node_801";"AI22_node_214";"AI22_node_448";"AI22_node_538";"AI22_node_1036";"AI22_node_1968";"AI22_node_1970";"AI22_node_1972";"AI22_node_96";"AI22_node_2155"
"AI22_node_418";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"AI22_node_1026";0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1633";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_3241";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0
"AI22_node_7";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_357";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_417";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"AI22_node_758";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_1670";1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1733";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"AI22_node_2529";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_2688";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_3248";0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
