"";"P22_node_5544";"P22_node_9295";"P22_node_10243";"P22_node_5802";"P22_node_6972";"P22_node_7022";"P22_node_5198";"P22_node_7025";"P22_node_6101";"P22_node_5354";"P22_node_6964";"P22_node_6966";"P22_node_6967";"P22_node_9011";"P22_node_10029";"P22_node_12581";"P22_node_6971";"P22_node_5853";"P22_node_13067";"P22_node_7017";"P22_node_6609";"P22_node_12041";"P22_node_5912";"P22_node_8998"
"P22_node_625";0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0
"P22_node_1707";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3191";1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0
"P22_node_257";1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0
"P22_node_3341";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1363";0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1
"P22_node_3342";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_396";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1350";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1348";0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3332";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1327";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_151";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3343";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
