"";"AI22_node_307";"AI22_node_2392";"AI22_node_411";"AI22_node_306";"AI22_node_319";"AI22_node_1804";"AI22_node_2773";"AI22_node_3116";"AI22_node_3117";"AI22_node_3121";"AI22_node_3125";"AI22_node_3141";"AI22_node_3230";"AI22_node_3140";"AI22_node_115";"AI22_node_171";"AI22_node_494";"AI22_node_2334";"AI22_node_2644";"AI22_node_2785";"AI22_node_3011";"AI22_node_3128";"AI22_node_3132";"AI22_node_30";"AI22_node_2166";"AI22_node_2253";"AI22_node_2576";"AI22_node_2786";"AI22_node_2790";"AI22_node_2791";"AI22_node_2792";"AI22_node_3184";"AI22_node_3217";"AI22_node_3355";"AI22_node_20";"AI22_node_117";"AI22_node_386";"AI22_node_544";"AI22_node_873";"AI22_node_874";"AI22_node_1546";"AI22_node_1551";"AI22_node_1741";"AI22_node_1925";"AI22_node_2013";"AI22_node_2254";"AI22_node_2276";"AI22_node_2333";"AI22_node_2344";"AI22_node_2502";"AI22_node_2578";"AI22_node_2967";"AI22_node_2987";"AI22_node_3212";"AI22_node_3213";"AI22_node_3214";"AI22_node_3233";"AI22_node_341";"AI22_node_409";"AI22_node_407";"AI22_node_998";"AI22_node_2868";"AI22_node_3149";"AI22_node_3218";"AI22_node_3223";"AI22_node_3232";"AI22_node_148";"AI22_node_298";"AI22_node_301";"AI22_node_308";"AI22_node_636";"AI22_node_795";"AI22_node_899";"AI22_node_1127";"AI22_node_1771";"AI22_node_2019";"AI22_node_2330";"AI22_node_2335";"AI22_node_2717";"AI22_node_3002";"AI22_node_3005";"AI22_node_3007";"AI22_node_3013";"AI22_node_3049";"AI22_node_3115";"AI22_node_3120";"AI22_node_3124";"AI22_node_3129";"AI22_node_3131";"AI22_node_3134";"AI22_node_3302";"AI22_node_1110";"AI22_node_2206";"AI22_node_252";"AI22_node_2256";"AI22_node_2329";"AI22_node_3145";"AI22_node_278";"AI22_node_583";"AI22_node_2257";"AI22_node_849";"AI22_node_861";"AI22_node_2339";"AI22_node_2789";"AI22_node_3122";"AI22_node_3136";"AI22_node_1173";"AI22_node_2346";"AI22_node_852"
"AI22_node_384";1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_689";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_758";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1008";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1026";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1633";0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1634";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1670";1;0;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_1699";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2105";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
