"";"D21_node_507";"D21_node_68";"D21_node_1046";"D21_node_1150";"D21_node_1329";"D21_node_64";"D21_node_87";"D21_node_682";"D21_node_797";"D21_node_557";"D21_node_783";"D21_node_502"
"D21_node_1";0;0;0;0;0;0;0;1;0;0;0;0
"D21_node_22";0;1;1;1;1;0;0;0;0;0;0;0
"D21_node_28";1;1;0;0;1;1;1;1;0;0;0;0
"D21_node_32";0;1;0;1;0;0;0;0;0;0;0;0
"D21_node_107";0;0;0;0;0;0;1;0;0;0;0;0
"D21_node_151";0;0;0;1;0;0;0;0;1;0;0;0
"D21_node_273";0;0;0;0;1;1;0;0;0;0;0;0
"D21_node_383";0;1;0;0;0;0;0;1;0;0;1;0
"D21_node_392";0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_393";0;0;0;0;0;0;0;0;0;1;0;0
"D21_node_438";0;1;0;0;0;0;0;0;0;0;0;0
"D21_node_476";0;1;0;0;1;0;0;0;0;0;0;0
"D21_node_491";0;1;0;1;1;0;0;1;1;1;0;0
"D21_node_604";0;0;1;0;0;0;0;0;0;0;0;0
"D21_node_614";0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_644";0;1;0;0;1;0;0;0;0;0;0;0
"D21_node_1323";1;1;0;0;1;1;1;0;0;0;0;0
"D21_node_665";0;0;0;0;0;0;1;0;1;0;0;0
"D21_node_694";1;1;1;0;1;1;0;0;0;0;0;0
"D21_node_708";1;1;0;0;1;1;1;1;0;0;1;0
"D21_node_729";0;1;0;0;0;0;0;0;0;0;0;0
"D21_node_733";0;0;0;0;1;0;1;0;0;0;0;0
"D21_node_770";1;0;0;0;0;0;0;0;0;0;1;0
"D21_node_803";0;1;0;0;0;0;0;0;0;0;0;0
"D21_node_841";0;0;1;0;0;0;0;0;0;0;0;0
"D21_node_842";0;0;0;1;1;0;0;0;0;0;0;0
"D21_node_898";1;1;0;0;1;0;0;0;0;0;0;0
"D21_node_908";0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_930";0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_935";0;0;0;0;0;0;0;1;0;0;0;0
"D21_node_937";0;0;0;1;1;0;0;0;0;0;0;0
"D21_node_1111";1;1;0;0;1;0;0;0;0;0;0;1
"D21_node_1126";0;0;1;1;1;0;0;0;0;0;0;0
"D21_node_1186";0;0;1;0;1;1;0;1;0;0;0;0
"D21_node_1230";1;1;0;0;1;1;1;0;0;0;0;0
"D21_node_1290";0;0;0;0;1;0;0;0;0;0;0;0
"D21_node_1310";0;1;0;0;0;0;0;0;0;0;0;0
"D21_node_1313";0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_52";1;0;0;0;0;0;0;1;0;0;0;0
"D21_node_1405";0;0;0;1;1;0;0;0;0;0;0;0
"D21_node_1417";0;1;0;0;0;1;0;0;0;0;0;0
"D21_node_1418";0;0;0;0;0;1;0;0;0;0;0;0
