"";"D22net18_col_2";"D22net18_col_3";"D22net18_col_4";"D22net18_col_1";"D22net18_col_6";"D22net18_col_5";"D22net18_col_7";"D22net18_col_8";"D22net18_col_9";"D22net18_col_10"
"D22net18_row_1";1;0;0;0;0;0;0;0;0;0
"D22net18_row_2";1;1;0;0;0;1;0;0;0;0
"D22net18_row_3";0;0;0;0;1;0;0;0;0;0
"D22net18_row_4";1;1;1;0;1;0;0;1;0;0
"D22net18_row_5";1;0;0;0;1;0;0;0;1;0
"D22net18_row_6";1;1;0;0;1;0;1;0;0;0
"D22net18_row_7";1;0;1;0;0;0;1;0;0;0
"D22net18_row_8";0;1;0;0;0;0;1;0;0;0
"D22net18_row_9";0;0;0;0;1;0;0;0;0;0
"D22net18_row_10";1;0;0;0;0;0;0;0;0;0
"D22net18_row_11";1;0;0;0;0;0;0;0;0;0
"D22net18_row_12";1;0;0;0;0;1;0;0;0;0
"D22net18_row_13";1;1;0;0;0;0;0;0;0;0
"D22net18_row_14";0;0;0;0;0;0;0;0;0;1
"D22net18_row_15";0;0;0;0;0;0;0;1;0;0
"D22net18_row_16";0;0;1;1;1;0;0;0;0;0
"D22net18_row_17";0;0;0;0;1;0;0;0;0;0
"D22net18_row_18";0;0;0;0;0;1;0;0;0;0
"D22net18_row_19";0;0;0;0;1;0;0;0;0;0
"D22net18_row_20";0;1;0;0;0;0;0;0;0;0
"D22net18_row_21";0;0;1;0;0;0;0;0;0;0
"D22net18_row_22";0;1;0;0;0;0;0;0;0;0
"D22net18_row_23";0;0;1;0;0;0;1;0;0;0
