"";"TI_HERB_4169";"TI_HERB_4380";"TI_HERB_4324";"TI_HERB_4172";"TI_HERB_4257";"TI_HERB_4259";"TI_HERB_4538";"TI_HERB_4174";"TI_HERB_4180";"TI_HERB_4183";"TI_HERB_4186";"TI_HERB_4265";"TI_HERB_4191";"TI_HERB_4192";"TI_HERB_4269";"TI_HERB_4270";"TI_HERB_4480";"TI_HERB_4274";"TI_HERB_4196";"TI_HERB_4275";"TI_HERB_4539";"TI_HERB_4198";"TI_HERB_4276";"TI_HERB_4540";"TI_HERB_4277";"TI_HERB_4541";"TI_HERB_4278";"TI_HERB_4203";"TI_HERB_4542";"TI_HERB_4340";"TI_HERB_4543";"TI_HERB_4341";"TI_HERB_4342";"TI_HERB_4210";"TI_HERB_4516";"TI_HERB_4214";"TI_HERB_4217";"TI_HERB_4294";"TI_HERB_4459";"TI_HERB_4544";"TI_HERB_4225";"TI_HERB_4416";"TI_HERB_4353";"TI_HERB_4545";"TI_HERB_4231";"TI_HERB_4420";"TI_HERB_4546";"TI_HERB_4547";"TI_HERB_4521";"TI_HERB_4232";"TI_HERB_4548";"TI_HERB_4549";"TI_HERB_4366";"TI_HERB_4550";"TI_HERB_4551";"TI_HERB_4470";"TI_HERB_4243";"TI_HERB_4552";"TI_HERB_4529";"TI_HERB_4553";"TI_HERB_4554";"TI_HERB_4555";"TI_HERB_4556";"TI_HERB_4557";"TI_HERB_4558";"TI_HERB_4246";"TI_HERB_4376";"TI_HERB_4559";"TI_HERB_4377"
"TI_PLANT_3702";1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
"TI_PLANT_3721";0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_3732";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3743";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3734";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_3715";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3728";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3781";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"TI_PLANT_3775";1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_3746";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
