"";"P22_node_7038";"P22_node_7039";"P22_node_7040";"P22_node_7041";"P22_node_7042";"P22_node_7043";"P22_node_7044";"P22_node_5354";"P22_node_7045";"P22_node_5376";"P22_node_7046";"P22_node_7047";"P22_node_7048";"P22_node_7049";"P22_node_7050";"P22_node_7051";"P22_node_7052";"P22_node_7053";"P22_node_5449";"P22_node_7054";"P22_node_5279";"P22_node_7055";"P22_node_7056";"P22_node_7057";"P22_node_7058";"P22_node_5469";"P22_node_7059";"P22_node_7060";"P22_node_7061";"P22_node_7062";"P22_node_5244";"P22_node_7063";"P22_node_5309";"P22_node_7064";"P22_node_7065";"P22_node_7066";"P22_node_7067";"P22_node_7068";"P22_node_7069";"P22_node_7070";"P22_node_7071";"P22_node_7072";"P22_node_5276";"P22_node_7073"
"P22_node_636";1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
"P22_node_637";0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1
"P22_node_638";0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"P22_node_639";0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0
"P22_node_640";0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_641";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_642";0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_643";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_644";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
"P22_node_645";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_646";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_647";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"P22_node_648";0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1
