"";"AI22_node_171";"AI22_node_1387";"AI22_node_1389";"AI22_node_1464";"AI22_node_2024";"AI22_node_2371";"AI22_node_3184";"AI22_node_820";"AI22_node_269";"AI22_node_270";"AI22_node_312";"AI22_node_314";"AI22_node_319";"AI22_node_320";"AI22_node_331";"AI22_node_244";"AI22_node_255";"AI22_node_1046";"AI22_node_1048"
"AI22_node_355";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1816";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_936";1;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1
"AI22_node_2757";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2956";1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1
"AI22_node_2273";1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
"AI22_node_932";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_465";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"AI22_node_369";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_2921";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_3325";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"AI22_node_483";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_2110";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
