"";"WOL_node_2781";"WOL_node_3521";"WOL_node_4325";"WOL_node_7993";"WOL_node_1218";"WOL_node_312";"WOL_node_1044";"WOL_node_3548";"WOL_node_7831";"WOL_node_7833";"WOL_node_7835";"WOL_node_7865";"WOL_node_8003";"WOL_node_8441";"WOL_node_11284";"WOL_node_11706"
"WOL_node_2024";0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_9221";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_539";0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1
"WOL_node_540";0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
"WOL_node_2999";0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_3601";0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0
"WOL_node_3622";0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_3623";0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1
"WOL_node_6972";1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_8458";0;1;0;1;1;1;0;0;1;0;1;1;0;0;0;1
"WOL_node_8459";0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"WOL_node_8611";0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;1
"WOL_node_8612";0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
"WOL_node_8614";0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1
"WOL_node_8616";0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0
"WOL_node_8902";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_15500";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15562";0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0
"WOL_node_2466";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8242";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_2022";0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_3606";0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"WOL_node_3615";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_3626";0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1
"WOL_node_5259";0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0
"WOL_node_6383";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_7581";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_11936";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_7879";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"WOL_node_7580";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8834";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_10756";0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
"WOL_node_11940";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_15563";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_7875";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10759";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10767";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
