"";"D21_node_11";"D21_node_50";"D21_node_154";"D21_node_349";"D21_node_471";"D21_node_602";"D21_node_608";"D21_node_867";"D21_node_940";"D21_node_347";"D21_node_51";"D21_node_439";"D21_node_461";"D21_node_227"
"D21_node_140";1;1;1;0;1;1;1;1;1;1;0;0;0;0
"D21_node_995";0;1;0;0;0;0;0;0;0;0;0;0;0;1
"D21_node_996";0;0;0;0;0;1;0;0;0;1;0;0;0;0
"D21_node_979";0;1;1;0;0;1;0;0;0;0;0;0;0;0
"D21_node_259";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"D21_node_431";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_332";0;1;0;1;0;1;0;1;0;1;0;0;0;0
"D21_node_1099";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"D21_node_1073";0;0;1;0;1;1;0;1;0;1;1;1;1;0
"D21_node_91";0;0;0;0;1;0;0;1;0;0;0;0;0;0
"D21_node_994";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"D21_node_336";0;1;0;1;0;1;1;1;0;1;0;1;0;0
"D21_node_1089";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_1341";0;1;0;0;0;1;0;1;0;0;0;0;0;0
"D21_node_974";0;0;1;1;1;1;0;1;0;0;0;0;0;0
"D21_node_1391";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_874";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"D21_node_529";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"D21_node_1330";0;0;1;0;0;0;0;0;0;0;0;0;0;0
