"";"D22net4_col_1";"D22net4_col_2";"D22net4_col_3";"D22net4_col_4";"D22net4_col_6";"D22net4_col_9";"D22net4_col_5";"D22net4_col_7";"D22net4_col_8";"D22net4_col_11";"D22net4_col_10"
"D22net4_row_1";1;1;1;1;1;1;0;0;0;0;0
"D22net4_row_2";0;1;1;0;0;0;1;1;1;0;0
"D22net4_row_3";1;1;0;0;0;0;0;0;1;1;0
"D22net4_row_4";0;1;1;0;0;0;1;0;0;0;0
"D22net4_row_5";0;0;1;0;1;0;0;0;0;0;1
"D22net4_row_6";1;0;1;0;0;0;0;0;0;0;0
"D22net4_row_7";0;0;1;1;0;0;0;0;0;0;0
"D22net4_row_8";1;1;0;0;0;0;0;0;0;0;0
"D22net4_row_9";0;1;0;0;0;0;1;0;0;0;0
"D22net4_row_10";1;0;0;0;0;0;0;0;0;0;0
"D22net4_row_11";1;0;0;0;0;0;0;0;0;0;0
"D22net4_row_12";0;1;0;0;0;0;0;0;0;0;0
"D22net4_row_13";0;0;0;1;0;0;0;0;0;0;0
"D22net4_row_14";1;0;0;0;0;0;0;0;0;0;0
"D22net4_row_15";1;0;0;0;0;0;0;0;0;0;0
"D22net4_row_16";0;0;0;0;0;0;0;1;0;0;0
"D22net4_row_17";1;0;0;0;0;0;0;0;0;0;0
"D22net4_row_18";1;0;0;0;0;0;0;0;0;0;0
"D22net4_row_19";0;1;0;0;0;0;0;0;0;0;0
