"";"P22_node_8480";"P22_node_10807";"P22_node_10820";"P22_node_5117";"P22_node_5354";"P22_node_10832";"P22_node_10808";"P22_node_5124";"P22_node_7085";"P22_node_10809";"P22_node_10810";"P22_node_10783";"P22_node_10784";"P22_node_10796";"P22_node_10839";"P22_node_10840";"P22_node_10841";"P22_node_10842";"P22_node_8489";"P22_node_8491";"P22_node_10835";"P22_node_10843";"P22_node_10844";"P22_node_10845";"P22_node_10846";"P22_node_10847";"P22_node_10848";"P22_node_8494";"P22_node_8495";"P22_node_5438";"P22_node_10849";"P22_node_10830";"P22_node_10825";"P22_node_10790";"P22_node_5165";"P22_node_8504";"P22_node_10837";"P22_node_10850";"P22_node_5171";"P22_node_10804";"P22_node_10792";"P22_node_10793";"P22_node_10805";"P22_node_10851";"P22_node_10838";"P22_node_8508";"P22_node_5529";"P22_node_8481";"P22_node_10852";"P22_node_5294";"P22_node_7129";"P22_node_5198"
"P22_node_587";0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
"P22_node_1143";0;1;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1146";0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_151";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1
"P22_node_2179";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
"P22_node_396";0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0
"P22_node_2180";0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_150";1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1148";0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"P22_node_2175";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2178";0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1152";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1154";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1145";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1151";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2176";1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1
"P22_node_1109";0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
