"";"WOL_node_1654";"WOL_node_2295";"WOL_node_3286";"WOL_node_3293";"WOL_node_5614";"WOL_node_5825";"WOL_node_9137";"WOL_node_9892";"WOL_node_10358";"WOL_node_10363";"WOL_node_10739";"WOL_node_1905";"WOL_node_2379";"WOL_node_3289";"WOL_node_3291";"WOL_node_4323";"WOL_node_4324";"WOL_node_4769";"WOL_node_5336";"WOL_node_5608";"WOL_node_5829";"WOL_node_9132";"WOL_node_5827";"WOL_node_5460";"WOL_node_5612";"WOL_node_5843";"WOL_node_6577";"WOL_node_11025";"WOL_node_12019"
"WOL_node_249";1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0
"WOL_node_3114";0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1
"WOL_node_5857";0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_9542";1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1
"WOL_node_9543";0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1
"WOL_node_9540";0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;1;1
"WOL_node_8697";1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
"WOL_node_5188";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_430";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_435";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_12445";0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
"WOL_node_15273";0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_3113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_11242";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
