"";"P22_node_7198";"P22_node_14161";"P22_node_14337";"P22_node_14338";"P22_node_14214";"P22_node_14191";"P22_node_5314";"P22_node_11226";"P22_node_5309";"P22_node_14202";"P22_node_8370";"P22_node_14162";"P22_node_14335";"P22_node_11264";"P22_node_5432";"P22_node_5354";"P22_node_14167";"P22_node_5363";"P22_node_11290";"P22_node_9588";"P22_node_14239";"P22_node_14169";"P22_node_9020";"P22_node_14171";"P22_node_14172";"P22_node_14173";"P22_node_14174";"P22_node_14159";"P22_node_14274";"P22_node_9078";"P22_node_14176";"P22_node_14296";"P22_node_14199";"P22_node_7692";"P22_node_14236";"P22_node_14179";"P22_node_14263";"P22_node_14213";"P22_node_14184";"P22_node_14237";"P22_node_14185";"P22_node_14186";"P22_node_11142";"P22_node_14277";"P22_node_14200";"P22_node_5499";"P22_node_14190";"P22_node_14254";"P22_node_14192";"P22_node_7020";"P22_node_11254";"P22_node_14268";"P22_node_14339";"P22_node_14196";"P22_node_14230";"P22_node_5530";"P22_node_6957";"P22_node_14232";"P22_node_9587";"P22_node_14340";"P22_node_14300";"P22_node_14310";"P22_node_14160";"P22_node_14222";"P22_node_5198";"P22_node_14250"
"P22_node_3909";1;1;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
"P22_node_230";0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_151";0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"P22_node_3913";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3905";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3912";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2482";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3918";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0
"P22_node_3907";0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2457";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3916";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3956";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3957";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
