"";"TI_HERB_4800";"TI_HERB_4801";"TI_HERB_4802";"TI_HERB_4803";"TI_HERB_4804";"TI_HERB_4805";"TI_HERB_4806";"TI_HERB_4807";"TI_HERB_4808";"TI_HERB_4809";"TI_HERB_4810";"TI_HERB_4811";"TI_HERB_4812";"TI_HERB_4813";"TI_HERB_4814";"TI_HERB_4815";"TI_HERB_4816";"TI_HERB_4817";"TI_HERB_4818";"TI_HERB_4819";"TI_HERB_4820";"TI_HERB_4821";"TI_HERB_4822";"TI_HERB_4823"
"TI_PLANT_4319";1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0
"TI_PLANT_4320";1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1
"TI_PLANT_4321";0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0
"TI_PLANT_4322";1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4323";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4324";1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1
"TI_PLANT_4325";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0
"TI_PLANT_4326";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"TI_PLANT_4327";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
"TI_PLANT_4328";1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;1
"TI_PLANT_4329";1;0;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0;0
"TI_PLANT_4330";1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1
"TI_PLANT_4331";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
"TI_PLANT_4332";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4333";1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_4334";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_4335";1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0
"TI_PLANT_4336";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"TI_PLANT_4337";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4338";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_4339";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"TI_PLANT_4340";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4341";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4342";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_4343";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4344";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_4345";0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0
