"";"P22_node_5354";"P22_node_5544";"P22_node_5802";"P22_node_7017";"P22_node_7022";"P22_node_6609";"P22_node_5314";"P22_node_7025";"P22_node_13057";"P22_node_5755";"P22_node_13008";"P22_node_6101";"P22_node_13049";"P22_node_13065";"P22_node_5759";"P22_node_5595";"P22_node_10231";"P22_node_6964";"P22_node_5771";"P22_node_13064";"P22_node_6966";"P22_node_8786";"P22_node_8956";"P22_node_6967";"P22_node_9011";"P22_node_9015";"P22_node_13060";"P22_node_6971";"P22_node_12583";"P22_node_9126";"P22_node_9131";"P22_node_13056";"P22_node_5853";"P22_node_6434";"P22_node_13063";"P22_node_13066";"P22_node_7020";"P22_node_5912"
"P22_node_1340";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3332";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1336";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3191";1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1
"P22_node_625";1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1348";0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
"P22_node_1308";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_257";0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
"P22_node_3339";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3329";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_396";0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0
"P22_node_612";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_151";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"P22_node_1283";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2897";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
