"";"P22_node_5288";"P22_node_7016";"P22_node_8957";"P22_node_6070";"P22_node_12213";"P22_node_5912";"P22_node_12048";"P22_node_5544";"P22_node_12237";"P22_node_12238";"P22_node_12239";"P22_node_12240";"P22_node_8941";"P22_node_7025";"P22_node_6966";"P22_node_12241";"P22_node_12209";"P22_node_12242";"P22_node_5701";"P22_node_12243";"P22_node_7076";"P22_node_8587";"P22_node_8765";"P22_node_12244";"P22_node_6109";"P22_node_12245";"P22_node_9881";"P22_node_5354";"P22_node_6964";"P22_node_5771";"P22_node_6747";"P22_node_6967";"P22_node_9003";"P22_node_12246";"P22_node_8916";"P22_node_8818";"P22_node_12247";"P22_node_12248";"P22_node_9045";"P22_node_12249";"P22_node_9066";"P22_node_5802";"P22_node_12250";"P22_node_12216";"P22_node_12251";"P22_node_12252";"P22_node_12253";"P22_node_11991";"P22_node_9126";"P22_node_12217";"P22_node_12254";"P22_node_7334";"P22_node_9144";"P22_node_5853";"P22_node_9156";"P22_node_9159";"P22_node_5859";"P22_node_9079";"P22_node_9171";"P22_node_12211";"P22_node_12255";"P22_node_9196";"P22_node_7017";"P22_node_9204";"P22_node_7018";"P22_node_9215";"P22_node_5974";"P22_node_9239";"P22_node_12256";"P22_node_8195";"P22_node_5295";"P22_node_8244";"P22_node_12257";"P22_node_8268";"P22_node_12258";"P22_node_9025";"P22_node_8906";"P22_node_9307";"P22_node_9583";"P22_node_5198";"P22_node_12259"
"P22_node_2886";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_2887";0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0
"P22_node_2090";0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1829";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2888";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1350";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2889";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1307";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_616";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_608";1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
