"";"P22_node_15586";"P22_node_15587";"P22_node_15588";"P22_node_15589";"P22_node_15590";"P22_node_14596";"P22_node_15591";"P22_node_15592";"P22_node_15593";"P22_node_15594";"P22_node_15595";"P22_node_15596";"P22_node_15597";"P22_node_15598";"P22_node_15599";"P22_node_15600";"P22_node_15601";"P22_node_15602";"P22_node_9690";"P22_node_15603";"P22_node_15604";"P22_node_15605";"P22_node_15606";"P22_node_15607";"P22_node_15608";"P22_node_15609";"P22_node_15610";"P22_node_15611";"P22_node_15612";"P22_node_15613";"P22_node_15614";"P22_node_15615";"P22_node_15616";"P22_node_15617";"P22_node_15618";"P22_node_15619";"P22_node_15620";"P22_node_15621";"P22_node_15622";"P22_node_14491";"P22_node_15623";"P22_node_15624";"P22_node_15625";"P22_node_15626";"P22_node_15627";"P22_node_15628";"P22_node_15629";"P22_node_15630";"P22_node_15631";"P22_node_15632";"P22_node_15633";"P22_node_15634";"P22_node_15635";"P22_node_15636";"P22_node_15637";"P22_node_15638";"P22_node_15639";"P22_node_15640";"P22_node_6213";"P22_node_15641";"P22_node_15642";"P22_node_9385";"P22_node_15643";"P22_node_15644";"P22_node_15645";"P22_node_15646";"P22_node_15647";"P22_node_5354";"P22_node_15648";"P22_node_15649";"P22_node_10175";"P22_node_15650";"P22_node_15651";"P22_node_5385";"P22_node_15652";"P22_node_15653";"P22_node_15654";"P22_node_15655";"P22_node_15656";"P22_node_15657";"P22_node_15658";"P22_node_15659";"P22_node_15660";"P22_node_15661";"P22_node_15662";"P22_node_15663";"P22_node_15664";"P22_node_15665";"P22_node_5811";"P22_node_15254";"P22_node_10340";"P22_node_10363";"P22_node_15666";"P22_node_15667";"P22_node_11051";"P22_node_15668";"P22_node_15669";"P22_node_15670";"P22_node_15671";"P22_node_15672";"P22_node_15673";"P22_node_15674";"P22_node_15675";"P22_node_15676";"P22_node_15677";"P22_node_15678";"P22_node_15679";"P22_node_15680";"P22_node_15681";"P22_node_15682";"P22_node_15683";"P22_node_10382";"P22_node_10361";"P22_node_15684";"P22_node_15685";"P22_node_15686";"P22_node_15687";"P22_node_15688"
"P22_node_4525";0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0
"P22_node_2364";1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1
"P22_node_1916";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
"P22_node_891";0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0
"P22_node_4526";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2911";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_495";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0
"P22_node_1030";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0
"P22_node_4527";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3331";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
