"";"P22_node_6917";"P22_node_11749";"P22_node_11682";"P22_node_11750";"P22_node_11643";"P22_node_11751";"P22_node_11644";"P22_node_11752";"P22_node_11753";"P22_node_11754";"P22_node_11432";"P22_node_11646";"P22_node_5124";"P22_node_7085";"P22_node_11338";"P22_node_11649";"P22_node_11650";"P22_node_10810";"P22_node_5126";"P22_node_6906";"P22_node_11651";"P22_node_11434";"P22_node_11653";"P22_node_11358";"P22_node_6912";"P22_node_11732";"P22_node_11755";"P22_node_11660";"P22_node_8489";"P22_node_8491";"P22_node_11756";"P22_node_11737";"P22_node_11757";"P22_node_11661";"P22_node_11758";"P22_node_11759";"P22_node_11664";"P22_node_11760";"P22_node_11193";"P22_node_11761";"P22_node_11676";"P22_node_11762";"P22_node_11763";"P22_node_11679";"P22_node_11680";"P22_node_11764";"P22_node_10801";"P22_node_11765";"P22_node_11766";"P22_node_11767";"P22_node_11738";"P22_node_8857";"P22_node_11688";"P22_node_11768";"P22_node_11769";"P22_node_11689";"P22_node_11770";"P22_node_11771";"P22_node_11772";"P22_node_11692";"P22_node_10203";"P22_node_11741";"P22_node_11773";"P22_node_11697";"P22_node_11743";"P22_node_11700";"P22_node_11774";"P22_node_11701";"P22_node_11702";"P22_node_6875";"P22_node_5612";"P22_node_11775";"P22_node_11776";"P22_node_11777";"P22_node_11778";"P22_node_11779";"P22_node_5165";"P22_node_11710";"P22_node_11780";"P22_node_11781";"P22_node_5168";"P22_node_6945";"P22_node_11711";"P22_node_10837";"P22_node_11747";"P22_node_11715";"P22_node_11782";"P22_node_8507";"P22_node_11716";"P22_node_11445";"P22_node_11783";"P22_node_11784";"P22_node_11785";"P22_node_11786";"P22_node_6954";"P22_node_11787";"P22_node_11642";"P22_node_10864";"P22_node_11721";"P22_node_11788";"P22_node_11789";"P22_node_11723";"P22_node_10806";"P22_node_5529";"P22_node_11790";"P22_node_11726";"P22_node_11791";"P22_node_11729";"P22_node_11792";"P22_node_11793"
"P22_node_2675";1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0
"P22_node_342";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2676";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2674";0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0
"P22_node_27";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0
"P22_node_48";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2696";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2185";0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1145";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_29";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
