"";"D22net19_col_1";"D22net19_col_3";"D22net19_col_6";"D22net19_col_10";"D22net19_col_11";"D22net19_col_12";"D22net19_col_13";"D22net19_col_14";"D22net19_col_15";"D22net19_col_16";"D22net19_col_17";"D22net19_col_18";"D22net19_col_19";"D22net19_col_7";"D22net19_col_20";"D22net19_col_8";"D22net19_col_4";"D22net19_col_9";"D22net19_col_21";"D22net19_col_22";"D22net19_col_23";"D22net19_col_24";"D22net19_col_25";"D22net19_col_26";"D22net19_col_27";"D22net19_col_28";"D22net19_col_29";"D22net19_col_30";"D22net19_col_5";"D22net19_col_31";"D22net19_col_32";"D22net19_col_33";"D22net19_col_34";"D22net19_col_35";"D22net19_col_36";"D22net19_col_37";"D22net19_col_38";"D22net19_col_39";"D22net19_col_40";"D22net19_col_41";"D22net19_col_42";"D22net19_col_43";"D22net19_col_44";"D22net19_col_45";"D22net19_col_46";"D22net19_col_47";"D22net19_col_48";"D22net19_col_49";"D22net19_col_50"
"D22net19_row_1";1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_2";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_3";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_4";0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
"D22net19_row_5";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_7";0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"D22net19_row_8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_9";1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
"D22net19_row_10";0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0
"D22net19_row_11";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_12";0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_13";1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1
"D22net19_row_14";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_15";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net19_row_16";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
