"";"AI22_node_122";"AI22_node_171";"AI22_node_185";"AI22_node_410";"AI22_node_411";"AI22_node_610";"AI22_node_636";"AI22_node_647";"AI22_node_1208";"AI22_node_1212";"AI22_node_1213";"AI22_node_1384";"AI22_node_2372";"AI22_node_2395";"AI22_node_2722";"AI22_node_3184";"AI22_node_3364";"AI22_node_820";"AI22_node_821";"AI22_node_58";"AI22_node_270";"AI22_node_313";"AI22_node_316";"AI22_node_318";"AI22_node_1048";"AI22_node_2637"
"AI22_node_1239";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"AI22_node_1229";0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0
"AI22_node_2642";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1240";0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2250";0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0
"AI22_node_1080";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1786";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2956";0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"AI22_node_537";0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
"AI22_node_1871";0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_983";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AI22_node_2445";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2273";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2842";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_2846";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
