"";"P22_node_14589";"P22_node_8729";"P22_node_8314";"P22_node_14804";"P22_node_14587";"P22_node_7288";"P22_node_14719";"P22_node_14704";"P22_node_14591";"P22_node_14014";"P22_node_14805";"P22_node_14592";"P22_node_14593";"P22_node_14748";"P22_node_14706";"P22_node_14806";"P22_node_14636";"P22_node_14807";"P22_node_14808";"P22_node_13387";"P22_node_12771";"P22_node_14773";"P22_node_12773";"P22_node_12774";"P22_node_14596";"P22_node_12038";"P22_node_14809";"P22_node_10840";"P22_node_14792";"P22_node_10798";"P22_node_14602";"P22_node_12776";"P22_node_7272";"P22_node_14605";"P22_node_7569";"P22_node_14694";"P22_node_14607";"P22_node_14810";"P22_node_14609";"P22_node_14672";"P22_node_13380";"P22_node_14644";"P22_node_14811";"P22_node_14611";"P22_node_7618";"P22_node_14612";"P22_node_14812";"P22_node_14673";"P22_node_14647";"P22_node_7654";"P22_node_14613";"P22_node_14813";"P22_node_14615";"P22_node_14699";"P22_node_14700";"P22_node_14814";"P22_node_14617";"P22_node_14619";"P22_node_14123";"P22_node_13865";"P22_node_14795";"P22_node_14677";"P22_node_13846";"P22_node_14815";"P22_node_14625";"P22_node_14631";"P22_node_14816";"P22_node_7604";"P22_node_14817";"P22_node_7805";"P22_node_14380";"P22_node_14655";"P22_node_14656";"P22_node_13472";"P22_node_14658";"P22_node_14659";"P22_node_14683";"P22_node_8210";"P22_node_14818";"P22_node_10805";"P22_node_13853";"P22_node_13867";"P22_node_14703";"P22_node_14660";"P22_node_14630";"P22_node_14819";"P22_node_14687"
"P22_node_4076";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_784";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_753";0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4091";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_4092";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4074";0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;1;0;0
"P22_node_4083";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_4073";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1100";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4077";0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
