"";"AI22_node_1036";"AI22_node_973";"AI22_node_538";"AI22_node_372";"AI22_node_371";"AI22_node_1814";"AI22_node_373";"AI22_node_540";"AI22_node_713";"AI22_node_458";"AI22_node_977";"AI22_node_1998";"AI22_node_539";"AI22_node_978"
"AI22_node_2742";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"AI22_node_1244";0;0;0;1;0;0;0;1;0;0;0;0;1;0
"AI22_node_742";0;0;0;1;0;0;0;0;0;1;0;0;0;0
"AI22_node_535";0;0;1;0;0;0;0;0;0;0;0;0;0;1
"AI22_node_3091";0;1;0;0;0;0;0;0;0;0;0;0;1;0
"AI22_node_1445";0;0;0;0;1;0;0;0;0;0;1;0;0;0
"AI22_node_2419";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_360";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_3246";0;0;0;1;1;0;0;0;1;0;0;0;0;0
"AI22_node_734";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1883";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_731";0;0;0;0;0;0;1;0;0;0;0;0;1;0
"AI22_node_1002";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_2864";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_221";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1248";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_1120";0;0;0;0;1;0;0;0;0;0;0;0;0;0
