"";"WOL_node_5297";"WOL_node_2994";"WOL_node_2996";"WOL_node_10927";"WOL_node_6845";"WOL_node_2992";"WOL_node_3821";"WOL_node_8858";"WOL_node_11153";"WOL_node_11355";"WOL_node_11657";"WOL_node_12498";"WOL_node_2223";"WOL_node_4655";"WOL_node_3339";"WOL_node_4753";"WOL_node_218";"WOL_node_10977";"WOL_node_5819";"WOL_node_15272";"WOL_node_412";"WOL_node_3952";"WOL_node_5801";"WOL_node_6833";"WOL_node_10489";"WOL_node_4960";"WOL_node_15393";"WOL_node_6319";"WOL_node_4273";"WOL_node_1846";"WOL_node_328";"WOL_node_7114"
"WOL_node_10653";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_1031";1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1726";0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"WOL_node_9805";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2432";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5707";0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9086";1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8734";0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_6241";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2021";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8735";1;0;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_451";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_877";0;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2076";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3331";0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_5716";0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5890";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6218";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8099";0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8132";1;1;1;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_8244";0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_8733";0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8736";1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9203";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_9905";0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_10062";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_11943";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12660";0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15305";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_744";1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0
"WOL_node_876";1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_938";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_14334";0;1;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_14366";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
