"";"P22_node_13970";"P22_node_13982";"P22_node_13983";"P22_node_13971";"P22_node_6376";"P22_node_13965";"P22_node_6704";"P22_node_13968";"P22_node_13984";"P22_node_13985";"P22_node_6720";"P22_node_13946";"P22_node_13973";"P22_node_6106";"P22_node_6114";"P22_node_13986";"P22_node_5354";"P22_node_6172";"P22_node_9782";"P22_node_13987";"P22_node_6229";"P22_node_13988";"P22_node_13974";"P22_node_13950";"P22_node_10296";"P22_node_13952";"P22_node_5802";"P22_node_13954";"P22_node_13957";"P22_node_13989";"P22_node_13990";"P22_node_13958";"P22_node_6714";"P22_node_13976";"P22_node_5832";"P22_node_6430";"P22_node_6432";"P22_node_13960";"P22_node_13961";"P22_node_6436";"P22_node_13962";"P22_node_13963";"P22_node_13991";"P22_node_13964";"P22_node_5870";"P22_node_6532";"P22_node_9751";"P22_node_13992";"P22_node_13967";"P22_node_6609";"P22_node_8244";"P22_node_9260";"P22_node_6675";"P22_node_13993"
"P22_node_3847";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3832";0;0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1
"P22_node_3833";0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1
"P22_node_3848";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3839";1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1
"P22_node_3849";0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_363";1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0
"P22_node_3835";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_381";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3834";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"P22_node_3836";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3850";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3851";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3845";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
