"";"mangal_node_5348";"mangal_node_5360";"mangal_node_5349";"mangal_node_0089";"mangal_node_5341";"mangal_node_1466";"mangal_node_5352";"mangal_node_5353";"mangal_node_5354";"mangal_node_5355";"mangal_node_5356";"mangal_node_5357";"mangal_node_5358";"mangal_node_5359";"mangal_node_0090";"mangal_node_5361";"mangal_node_5362";"mangal_node_5363";"mangal_node_5364";"mangal_node_5365";"mangal_node_0038";"mangal_node_5366";"mangal_node_5367";"mangal_node_5368";"mangal_node_5369";"mangal_node_5370";"mangal_node_2542";"mangal_node_5371";"mangal_node_3268";"mangal_node_5109";"mangal_node_5372";"mangal_node_5373";"mangal_node_5374";"mangal_node_1517";"mangal_node_5350";"mangal_node_5351"
"mangal_node_5381";0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_5382";1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"mangal_node_5375";1;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0
"mangal_node_5376";1;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
"mangal_node_5377";1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1
"mangal_node_5378";1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"mangal_node_5379";1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
"mangal_node_5380";1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1
"mangal_node_0090";0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_5383";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5384";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
