"";"P22_node_13302";"P22_node_13303";"P22_node_13304";"P22_node_13305";"P22_node_10099";"P22_node_13084";"P22_node_10139";"P22_node_13306";"P22_node_13115";"P22_node_13307";"P22_node_13308";"P22_node_13083";"P22_node_13309";"P22_node_13310";"P22_node_6147";"P22_node_13311";"P22_node_13312";"P22_node_11978";"P22_node_13313";"P22_node_11729";"P22_node_11796";"P22_node_13314";"P22_node_13315";"P22_node_13316";"P22_node_13317";"P22_node_9817";"P22_node_13318";"P22_node_13319";"P22_node_13320";"P22_node_13321";"P22_node_10487";"P22_node_13322";"P22_node_13323";"P22_node_13324";"P22_node_13325";"P22_node_13326";"P22_node_13327";"P22_node_11518";"P22_node_11519";"P22_node_13328";"P22_node_13329";"P22_node_13330";"P22_node_13331";"P22_node_13332";"P22_node_13333";"P22_node_13334";"P22_node_11405";"P22_node_13335";"P22_node_8849";"P22_node_10672";"P22_node_10673";"P22_node_13336";"P22_node_5438";"P22_node_8856";"P22_node_13337";"P22_node_13338";"P22_node_13339";"P22_node_13340";"P22_node_13341";"P22_node_13342";"P22_node_13343";"P22_node_13344";"P22_node_13345";"P22_node_13346";"P22_node_13347";"P22_node_13348";"P22_node_13349";"P22_node_13350";"P22_node_11036";"P22_node_13351";"P22_node_13352";"P22_node_13116";"P22_node_13353";"P22_node_13354";"P22_node_13355";"P22_node_13356";"P22_node_13357";"P22_node_13358";"P22_node_13359";"P22_node_13360";"P22_node_13361";"P22_node_10447";"P22_node_13362";"P22_node_13363";"P22_node_13364";"P22_node_13365";"P22_node_13366";"P22_node_13367";"P22_node_13368";"P22_node_6850";"P22_node_13369";"P22_node_13370";"P22_node_13371"
"P22_node_1949";1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"P22_node_3538";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3539";0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
"P22_node_3540";0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_495";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_3541";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2573";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3542";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_3543";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3544";0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
