"";"TI_HERB_938";"TI_HERB_939";"TI_HERB_940";"TI_HERB_941";"TI_HERB_942";"TI_HERB_943";"TI_HERB_944";"TI_HERB_945";"TI_HERB_946";"TI_HERB_947";"TI_HERB_948";"TI_HERB_949";"TI_HERB_950";"TI_HERB_951";"TI_HERB_952";"TI_HERB_953";"TI_HERB_954";"TI_HERB_955";"TI_HERB_956";"TI_HERB_957";"TI_HERB_958";"TI_HERB_959";"TI_HERB_960";"TI_HERB_961";"TI_HERB_962";"TI_HERB_963"
"TI_PLANT_723";1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1
"TI_PLANT_823";1;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1
"TI_PLANT_824";0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1
"TI_PLANT_825";1;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0
"TI_PLANT_826";0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0
"TI_PLANT_827";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1
"TI_PLANT_828";0;0;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0
"TI_PLANT_829";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_830";0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;1
"TI_PLANT_831";0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;1;1;1
"TI_PLANT_832";1;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;1
"TI_PLANT_833";0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0
"TI_PLANT_834";1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1
"TI_PLANT_835";1;0;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1
"TI_PLANT_836";1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1
"TI_PLANT_837";0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1
"TI_PLANT_838";1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;1
"TI_PLANT_839";1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;0
"TI_PLANT_840";1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0
"TI_PLANT_841";1;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1
"TI_PLANT_842";0;0;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0
"TI_PLANT_843";1;1;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;1;0;0
"TI_PLANT_844";1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0
"TI_PLANT_845";1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
