"";"D21_node_76";"D21_node_797";"D21_node_1329";"D21_node_1150";"D21_node_92";"D21_node_507";"D21_node_1039";"D21_node_68";"D21_node_308";"D21_node_1047"
"D21_node_9";0;0;1;1;0;1;0;0;0;0
"D21_node_28";0;0;0;1;0;0;1;0;0;0
"D21_node_392";0;1;0;0;1;0;0;0;0;0
"D21_node_413";0;0;1;1;0;1;0;1;0;0
"D21_node_491";0;0;0;1;0;0;0;0;0;0
"D21_node_620";0;0;1;1;0;0;0;0;0;0
"D21_node_694";0;0;0;0;1;1;0;0;1;0
"D21_node_835";0;0;1;0;0;0;0;0;0;0
"D21_node_860";1;0;0;1;0;0;0;0;0;0
"D21_node_890";0;0;1;1;0;1;1;0;0;0
"D21_node_918";0;0;1;0;0;0;0;0;0;0
"D21_node_930";0;0;0;1;0;0;1;0;0;0
"D21_node_935";0;0;1;0;0;0;0;0;0;0
"D21_node_1230";0;0;1;1;0;0;0;1;0;0
"D21_node_964";0;0;0;1;0;0;0;0;0;0
"D21_node_1126";0;0;1;1;0;0;0;1;0;0
"D21_node_1130";1;0;1;1;0;0;0;1;0;0
"D21_node_1168";0;0;0;1;0;0;0;0;0;0
"D21_node_1225";0;0;1;0;0;0;0;0;0;0
"D21_node_1286";0;0;0;0;0;0;0;0;0;1
"D21_node_601";0;0;1;0;0;0;0;0;0;0
"D21_node_1403";0;0;0;1;0;0;0;0;0;0
"D21_node_1405";0;0;0;1;0;0;0;0;0;0
"D21_node_1408";0;0;0;1;0;0;0;0;0;0
