"";"TI_HERB_1384";"TI_HERB_1385";"TI_HERB_1386";"TI_HERB_1387";"TI_HERB_1388";"TI_HERB_1389";"TI_HERB_1390";"TI_HERB_1391";"TI_HERB_1392";"TI_HERB_1393";"TI_HERB_1394";"TI_HERB_1395";"TI_HERB_1396";"TI_HERB_1397";"TI_HERB_1398";"TI_HERB_1399";"TI_HERB_1400";"TI_HERB_1401";"TI_HERB_1402";"TI_HERB_1403";"TI_HERB_1404";"TI_HERB_1405"
"TI_PLANT_1737";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1738";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
"TI_PLANT_1739";0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_1740";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_1741";1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;0;0
"TI_PLANT_1742";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_1743";0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1744";0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0
"TI_PLANT_1745";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
"TI_PLANT_1746";1;1;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;1;1;0
"TI_PLANT_1747";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_1748";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1749";0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_1750";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1751";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_1752";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1753";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_1754";0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1
"TI_PLANT_1755";1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0
"TI_PLANT_1756";0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_1757";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_1758";0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_1759";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
