"";"M22_node_2379";"M22_node_2380";"M22_node_1979";"M22_node_2102";"M22_node_2383";"M22_node_1854";"M22_node_1659";"M22_node_2406";"M22_node_1960";"M22_node_1657";"M22_node_1762";"M22_node_1976";"M22_node_1434";"M22_node_1781";"M22_node_2418";"M22_node_272"
"M22_node_2484";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_80";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"M22_node_1053";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1054";1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
"M22_node_2073";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_797";1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0
"M22_node_397";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
"M22_node_307";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1399";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"M22_node_435";1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1
"M22_node_42";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_988";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"M22_node_281";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_37";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_566";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1491";1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0
"M22_node_1532";1;0;1;0;1;1;0;0;1;0;0;1;0;1;1;0
"M22_node_1290";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"M22_node_230";1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
"M22_node_932";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"M22_node_1389";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1392";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_1057";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2458";1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1
"M22_node_1476";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"M22_node_245";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_248";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"M22_node_764";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_759";1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"M22_node_1452";1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"M22_node_1459";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1210";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1209";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1457";1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1
"M22_node_1456";1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
"M22_node_1504";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1889";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_929";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1970";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"M22_node_1926";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"M22_node_2039";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_576";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_393";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2235";1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0
