"";"AI22_node_171";"AI22_node_406";"AI22_node_1167";"AI22_node_1359";"AI22_node_1531";"AI22_node_1538";"AI22_node_1545";"AI22_node_1741";"AI22_node_2703";"AI22_node_3049";"AI22_node_3215";"AI22_node_3337";"AI22_node_3342";"AI22_node_65";"AI22_node_187";"AI22_node_1017";"AI22_node_1806";"AI22_node_2943";"AI22_node_2644";"AI22_node_3212";"AI22_node_3226";"AI22_node_3338";"AI22_node_3349"
"AI22_node_221";1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_487";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1249";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1468";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2431";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_3237";1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0
"AI22_node_3091";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"AI22_node_1445";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AI22_node_742";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"AI22_node_2945";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_3246";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_732";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_703";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_733";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_815";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"AI22_node_1120";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
