"";"WOL_node_11654";"WOL_node_86";"WOL_node_1447";"WOL_node_4757";"WOL_node_4934";"WOL_node_5655";"WOL_node_5656";"WOL_node_6331";"WOL_node_6379";"WOL_node_6839";"WOL_node_9047";"WOL_node_11375";"WOL_node_11387";"WOL_node_2422";"WOL_node_4924";"WOL_node_5473";"WOL_node_10908"
"WOL_node_15593";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_1306";1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0
"WOL_node_2759";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11098";0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0
"WOL_node_7222";0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0
"WOL_node_1361";0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;0
"WOL_node_2650";0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_3107";0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12675";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12124";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_906";0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0
"WOL_node_4309";0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_1031";0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0
"WOL_node_349";0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0
"WOL_node_10092";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_4818";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_11225";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1578";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2090";0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2130";0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
"WOL_node_2599";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2652";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3256";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_3353";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_5221";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6519";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_7967";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8109";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_8425";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_9156";0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
"WOL_node_9213";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"WOL_node_10166";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11224";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12211";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12610";0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0
"WOL_node_15311";0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0
"WOL_node_3767";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1733";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"WOL_node_9546";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
"WOL_node_4980";0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0
"WOL_node_1669";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_6992";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_5696";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_1366";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_2101";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_2894";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"WOL_node_12338";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_3642";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_4227";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_9948";0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
"WOL_node_4736";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_3420";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_8052";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12474";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12037";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_4704";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2816";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2907";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_3944";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_10239";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10642";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_11778";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_11922";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12161";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12167";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15417";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3390";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
