"";"P22_node_12609";"P22_node_12610";"P22_node_12611";"P22_node_12612";"P22_node_12613";"P22_node_10396";"P22_node_12614";"P22_node_12615";"P22_node_10449";"P22_node_10630";"P22_node_12616";"P22_node_12617";"P22_node_12618";"P22_node_12619";"P22_node_12620";"P22_node_12621";"P22_node_5763";"P22_node_12622";"P22_node_12623";"P22_node_12624";"P22_node_12625";"P22_node_12626";"P22_node_8848";"P22_node_12627";"P22_node_12628";"P22_node_12629";"P22_node_12630";"P22_node_12631";"P22_node_12632";"P22_node_12595";"P22_node_10622"
"P22_node_3147";1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1
"P22_node_3148";1;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0
"P22_node_3149";0;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3150";0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;0
"P22_node_3151";0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3152";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3153";0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
"P22_node_3154";0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3092";0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_282";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3155";0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
"P22_node_3156";1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3157";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"P22_node_3158";0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"P22_node_3159";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3160";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3161";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3162";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3163";0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0
