"";"M22_node_320";"M22_node_1781";"M22_node_2418";"M22_node_2380";"M22_node_2406";"M22_node_2515";"M22_node_465";"M22_node_2255";"M22_node_2281";"M22_node_1976";"M22_node_546";"M22_node_2314";"M22_node_702";"M22_node_2391";"M22_node_2455";"M22_node_607";"M22_node_2056";"M22_node_2275";"M22_node_704";"M22_node_489";"M22_node_1765"
"M22_node_833";1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0
"M22_node_2469";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_763";0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
"M22_node_41";0;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0
"M22_node_2089";0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0
"M22_node_115";0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_413";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"M22_node_400";0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0
"M22_node_2204";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_613";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"M22_node_1467";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_508";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_726";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"M22_node_932";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1873";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1310";0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"M22_node_939";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
"M22_node_1461";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
"M22_node_2039";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_281";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_307";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_828";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2155";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_347";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1102";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
