"";"TI_HERB_1920";"TI_HERB_2168";"TI_HERB_2112";"TI_HERB_2066";"TI_HERB_1926";"TI_HERB_2000";"TI_HERB_2046";"TI_HERB_1930";"TI_HERB_2169";"TI_HERB_2149";"TI_HERB_1932";"TI_HERB_1933";"TI_HERB_2170";"TI_HERB_1936";"TI_HERB_1935";"TI_HERB_2003";"TI_HERB_1937";"TI_HERB_2005";"TI_HERB_1938";"TI_HERB_2071";"TI_HERB_1940";"TI_HERB_2052";"TI_HERB_2054";"TI_HERB_2171";"TI_HERB_2055";"TI_HERB_2056";"TI_HERB_2011";"TI_HERB_2172";"TI_HERB_2173";"TI_HERB_1952";"TI_HERB_1953";"TI_HERB_2174";"TI_HERB_1956";"TI_HERB_1957";"TI_HERB_1960";"TI_HERB_2175";"TI_HERB_1961";"TI_HERB_1962";"TI_HERB_825";"TI_HERB_2019";"TI_HERB_813";"TI_HERB_1966";"TI_HERB_1967";"TI_HERB_2021";"TI_HERB_2022";"TI_HERB_1968";"TI_HERB_2060";"TI_HERB_2119";"TI_HERB_1969";"TI_HERB_1972";"TI_HERB_815";"TI_HERB_1973";"TI_HERB_1976";"TI_HERB_2100";"TI_HERB_2176";"TI_HERB_2030";"TI_HERB_2031";"TI_HERB_2177";"TI_HERB_1977";"TI_HERB_2163";"TI_HERB_2164";"TI_HERB_2178";"TI_HERB_2179";"TI_HERB_2180";"TI_HERB_1982";"TI_HERB_1983";"TI_HERB_2037";"TI_HERB_1986";"TI_HERB_1987";"TI_HERB_1991";"TI_HERB_2087";"TI_HERB_2181";"TI_HERB_2182";"TI_HERB_2135"
"TI_PLANT_1922";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_2475";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2414";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2445";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2413";0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_2476";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_141";0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0
"TI_PLANT_2471";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2439";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_716";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"TI_PLANT_2416";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_143";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
