"";"M22_node_1946";"M22_node_943";"M22_node_36";"M22_node_1948";"M22_node_61";"M22_node_1702";"M22_node_1617";"M22_node_1162";"M22_node_1248";"M22_node_1548";"M22_node_1235";"M22_node_396";"M22_node_1958";"M22_node_2522";"M22_node_1613"
"M22_node_1791";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"M22_node_1871";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"M22_node_565";0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
"M22_node_2434";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"M22_node_407";1;0;0;0;1;1;1;1;1;1;1;1;0;0;0
"M22_node_186";0;0;0;1;1;1;0;1;0;0;0;0;1;1;0
"M22_node_405";0;1;0;0;0;1;0;1;1;1;0;0;0;0;1
"M22_node_2075";1;0;1;0;1;0;1;1;0;0;1;1;1;1;0
"M22_node_2343";1;0;1;0;1;0;1;1;1;0;0;0;0;0;0
"M22_node_2082";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"M22_node_1839";1;1;0;0;0;0;0;1;1;0;0;1;0;0;0
"M22_node_1610";0;0;1;0;0;0;1;0;0;0;1;1;0;1;0
"M22_node_1002";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
"M22_node_714";0;0;1;1;0;1;1;1;0;0;1;1;0;0;1
"M22_node_1243";1;0;1;0;0;0;1;1;0;1;0;0;0;0;0
