"";"P22_node_8916";"P22_node_7021";"P22_node_13644";"P22_node_13645";"P22_node_13646";"P22_node_13647";"P22_node_7030";"P22_node_7025";"P22_node_13057";"P22_node_13648";"P22_node_13649";"P22_node_13650";"P22_node_13651";"P22_node_8783";"P22_node_5771";"P22_node_6966";"P22_node_13652";"P22_node_5247";"P22_node_9898";"P22_node_13653";"P22_node_10078";"P22_node_13654";"P22_node_13655";"P22_node_13656";"P22_node_5802";"P22_node_6434";"P22_node_13657";"P22_node_9171";"P22_node_13658";"P22_node_13659";"P22_node_13660";"P22_node_9198";"P22_node_5877";"P22_node_7016";"P22_node_13661";"P22_node_9876";"P22_node_7446";"P22_node_6647";"P22_node_9218";"P22_node_9072";"P22_node_13662"
"P22_node_3653";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1340";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1348";0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0
"P22_node_2877";0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1350";1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0
"P22_node_2766";0;0;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
"P22_node_3654";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"P22_node_734";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3655";0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0
"P22_node_1363";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1
"P22_node_2872";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1676";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_948";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3656";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1111";0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3657";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
