"";"AI22_node_2298";"AI22_node_171";"AI22_node_410";"AI22_node_411";"AI22_node_586";"AI22_node_594";"AI22_node_608";"AI22_node_614";"AI22_node_1203";"AI22_node_1212";"AI22_node_1386";"AI22_node_1387";"AI22_node_2023";"AI22_node_2370";"AI22_node_2395";"AI22_node_2396";"AI22_node_2722";"AI22_node_3184";"AI22_node_3347";"AI22_node_3363";"AI22_node_313";"AI22_node_319";"AI22_node_327"
"AI22_node_126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"AI22_node_1240";0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0
"AI22_node_2149";1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
"AI22_node_1801";0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0
"AI22_node_1870";0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
"AI22_node_1757";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1871";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"AI22_node_464";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"AI22_node_2642";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_465";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
